Number of frames: 5263
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1, 0.850431204, 0.356587201, 0.386797696, 0.398722142,-0.916523457,-0.031709637, 0.343201876, 0.181191653,-0.921619296, 5.612075806,13.611359596,45.655551910, 0.319164693,-0.780777633, 0.624592423,-0.016451309, 0.622323871, 0.779748559, 0.068595164, 0.055671897, 0.043319527,-0.997509003,217.656723022,-185.819335938,-1536.212158203, 0.147626832,,,,,,,,,,,,,,
2, 0.850265145, 0.356185287, 0.387532294, 0.398763388,-0.916475534,-0.032563828, 0.343565077, 0.182221577,-0.921280861, 5.606453896,13.611925125,45.639472961, 0.320126414,-0.780747712, 0.624624550,-0.016649973, 0.622341335, 0.779725194, 0.068701297, 0.055894919, 0.043276414,-0.997498333,217.657775879,-185.819564819,-1536.212280273, 0.147476971,,,,,,,,,,,,,,
3, 0.850282967, 0.356002033, 0.387661487, 0.398941338,-0.916364431,-0.033496838, 0.343314260, 0.183135986,-0.921193004, 5.620189667,13.619259834,45.608547211, 0.319399863,-0.780754149, 0.624615550,-0.016683536, 0.622334361, 0.779736102, 0.068640560, 0.055882718, 0.043208666,-0.997501969,217.658386230,-185.820053101,-1536.211914063, 0.146871448,,,,,,,,,,,,,,
4, 0.850165069, 0.356113702, 0.387817532, 0.399063885,-0.916314125,-0.033413034, 0.343463838, 0.183170572,-0.921130359, 5.635380268,13.612302780,45.605442047, 0.317934692,-0.780714095, 0.624676406,-0.016276166, 0.622422993, 0.779681444, 0.068457782, 0.055454187, 0.043315299,-0.997521222,217.656555176,-185.819808960,-1536.209106445, 0.148704126,,,,,,,,,,,,,,
5, 0.850188196, 0.356343716, 0.387555361, 0.399174958,-0.916273594,-0.033196628, 0.343277335, 0.182925791,-0.921248496, 5.633775234,13.614460945,45.613227844, 0.318796784,-0.780717313, 0.624670088,-0.016364196, 0.622413099, 0.779689729, 0.068453550, 0.055519883, 0.043257583,-0.997520089,217.657257080,-185.821060181,-1536.212280273, 0.147225350,,,,,,,,,,,,,,
6, 0.850208402, 0.356728256, 0.387157112, 0.399284124,-0.916247249,-0.032605369, 0.343100399, 0.182307050,-0.921437085, 5.623099804,13.624822617,45.647144318, 0.319046497,-0.780717432, 0.624665320,-0.016537687, 0.622409761, 0.779706478, 0.068292834, 0.055554707, 0.043024190,-0.997528255,217.651611328,-185.820831299,-1536.208251953, 0.146386802,,,,,,,,,,,,,,
7, 0.850342393, 0.356888056, 0.386715174, 0.399242967,-0.916276515,-0.032285031, 0.342815906, 0.181846648,-0.921633899, 5.625098705,13.614503860,45.625751495, 0.318530232,-0.780736744, 0.624645174,-0.016388603, 0.622382522, 0.779706895, 0.068535946, 0.055588949, 0.043308549,-0.997514009,217.647598267,-185.820327759,-1536.208740234, 0.147106394,,,,,,,,,,,,,,
8, 0.850565612, 0.356924742, 0.386190295, 0.399198741,-0.916293204,-0.032359671, 0.342313558, 0.181690708,-0.921851397, 5.627534389,13.625230789,45.609901428, 0.318979293,-0.780762494, 0.624607325,-0.016602064, 0.622340083, 0.779747963, 0.068454333, 0.055702504, 0.043114446,-0.997516096,217.647628784,-185.818908691,-1536.205444336, 0.146485165,,,,,,,,,,,,,,
9, 0.850698650, 0.357293487, 0.385555714, 0.399255812,-0.916287780,-0.031805329, 0.341916144, 0.180992112,-0.922136247, 5.622402668,13.622681618,45.616481781, 0.318681389,-0.780764818, 0.624610484,-0.016371606, 0.622363567, 0.779745519, 0.068268180, 0.055406708, 0.043112304,-0.997532666,217.648132324,-185.818664551,-1536.206542969, 0.146639019,,,,,,,,,,,,,,
10, 0.850497365, 0.357268065, 0.386023045, 0.398957223,-0.916451812,-0.030809280, 0.342764348, 0.180209890,-0.921974480, 5.616825104,13.607455254,45.635051727, 0.318843573,-0.780745566, 0.624635756,-0.016324811, 0.622365296, 0.779703796, 0.068727128, 0.055657938, 0.043498404,-0.997501969,217.649536133,-185.818191528,-1536.206298828, 0.147304639,,,,,,,,,,,,,,
11, 0.850094199, 0.357532173, 0.386665970, 0.399288207,-0.916315615,-0.030569650, 0.343378484, 0.180378258,-0.921712995, 5.612954617,13.617972374,45.615833282, 0.318562806,-0.780743003, 0.624631822,-0.016596930, 0.622351587, 0.779718041, 0.068689041, 0.055846289, 0.043299362,-0.997500062,217.652038574,-185.817550659,-1536.205810547, 0.147101492,,,,,,,,,,,,,,
12, 0.849727571, 0.358314037, 0.386748046, 0.399896741,-0.916072547,-0.029894497, 0.343577653, 0.180061474,-0.921700776, 5.629931927,13.630014420,45.606079102, 0.318406731,-0.780750573, 0.624626875,-0.016429447, 0.622377455, 0.779734552, 0.068266951, 0.055451974, 0.043074142,-0.997531831,217.652984619,-185.817871094,-1536.207519531, 0.148301125,,,,,,,,,,,,,,
13, 0.849477053, 0.359214276, 0.386463225, 0.400358230,-0.915909529,-0.028689353, 0.343659699, 0.179094672,-0.921858490, 5.623451710,13.627371788,45.629066467, 0.318741828,-0.780745149, 0.624632537,-0.016468959, 0.622367620, 0.779720545, 0.068515338, 0.055638097, 0.043243267,-0.997514069,217.653442383,-185.817718506,-1536.205932617, 0.147692487,,,,,,,,,,,,,,
14, 0.849050462, 0.359996140, 0.386673063, 0.400898010,-0.915702045,-0.027758507, 0.344084352, 0.178584829,-0.921799004, 5.597816467,13.633451462,45.650623322, 0.318719357,-0.780743897, 0.624621749,-0.016933326, 0.622319758, 0.779732108, 0.068818294, 0.056188859, 0.043191515,-0.997485518,217.653625488,-185.815231323,-1536.202758789, 0.147280991,,,,,,,,,,,,,,
15, 0.848953366, 0.360798955, 0.386137635, 0.401600271,-0.915398479,-0.027619937, 0.343504548, 0.178521022,-0.922027588, 5.613540173,13.640118599,45.622966766, 0.317410350,-0.780776441, 0.624589741,-0.016607847, 0.622317135, 0.779758275, 0.068545386, 0.055762846, 0.043183271,-0.997509718,217.653732300,-185.815216064,-1536.203857422, 0.147056013,,,,,,,,,,,,,,
16, 0.848673940, 0.361267090, 0.386314124, 0.401973426,-0.915248215,-0.027167829, 0.343758464, 0.178344652,-0.921967089, 5.620967865,13.642726898,45.635509491, 0.318723917,-0.780751348, 0.624619544,-0.016665135, 0.622338474, 0.779731750, 0.068652444, 0.055875998, 0.043229133,-0.997501433,217.653823853,-185.815216064,-1536.202758789, 0.146509752,,,,,,,,,,,,,,
17, 0.848391771, 0.361996055, 0.386251450, 0.402688414,-0.914938450,-0.027011992, 0.343618095, 0.178455740,-0.921997845, 5.621639729,13.648512840,45.648342133, 0.317462355,-0.780731142, 0.624646187,-0.016614184, 0.622382045, 0.779720187, 0.068388224, 0.055672862, 0.043052450,-0.997520447,217.653457642,-185.814804077,-1536.204833984, 0.148409665,,,,,,,,,,,,,,
18, 0.847936988, 0.362633139, 0.386652440, 0.403335959,-0.914662898,-0.026681300, 0.343981117, 0.178574890,-0.921839476, 5.620042324,13.631164551,45.666229248, 0.317366660,-0.780775785, 0.624599576,-0.016262177, 0.622342467, 0.779738724, 0.068537213, 0.055488568, 0.043391556,-0.997515976,217.652206421,-185.815567017,-1536.209960938, 0.148345992,,,,,,,,,,,,,,
19, 0.847774088, 0.362934470, 0.386726946, 0.403836995,-0.914429128,-0.027111262, 0.343794793, 0.179158881,-0.921795666, 5.643964767,13.619382858,45.667381287, 0.318772227,-0.780840218, 0.624528408,-0.015900820, 0.622282743, 0.779779494, 0.068616182, 0.055251885, 0.043683466,-0.997516453,217.651748657,-185.815979004,-1536.209960938, 0.146830186,,,,,,,,,,,,,,
20, 0.847353220, 0.363005996, 0.387581170, 0.404517800,-0.914093792,-0.028246857, 0.344031781, 0.180718556,-0.921402633, 5.627770901,13.632087708,45.658096313, 0.319509178,-0.780816674, 0.624544859,-0.016403247, 0.622277260, 0.779783905, 0.068615586, 0.055644494, 0.043368824,-0.997508347,217.651687622,-185.816253662,-1536.207397461, 0.145996973,,,,,,,,,,,,,,
21, 0.847333312, 0.363114357, 0.387523204, 0.404928118,-0.913886428,-0.029066123, 0.343597859, 0.181547731,-0.921401620, 5.620995522,13.632436752,45.668136597, 0.317734808,-0.780774593, 0.624595702,-0.016466500, 0.622327209, 0.779746890, 0.068582311, 0.055675924, 0.043299776,-0.997509539,217.651184082,-185.816116333,-1536.205810547, 0.146760702,,,,,,,,,,,,,,
