Number of frames: 6542
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1, 0.565262616, 0.764827847, 0.309057474, 0.818804979,-0.565712392,-0.097610563, 0.100182369, 0.308233410,-0.946020901,-12.070075989, 8.355690956,66.039413452, 0.319887280,-0.728332818, 0.676446140,-0.109324642, 0.672041535, 0.736315608, 0.078737125, 0.133758858,-0.016123867,-0.990882695,148.662002563,-224.435119629,-1472.024658203, 0.151668206,,,,,,,,,,,,,,
2, 0.563716948, 0.765404105, 0.310450971, 0.819563210,-0.565048754,-0.095058560, 0.102661707, 0.308020294,-0.945824564,-12.066667557, 8.350070953,66.016319275, 0.319849670,-0.728326380, 0.676457047,-0.109300293, 0.672008276, 0.736311078, 0.079062253, 0.133961245,-0.015867576,-0.990859509,148.661117554,-224.435653687,-1472.024658203, 0.151492774,,,,,,,,,,,,,,
3, 0.562243819, 0.766161799, 0.311252326, 0.820361912,-0.564227879,-0.093022868, 0.104346670, 0.307641089,-0.945763588,-12.054861069, 8.366696358,66.003776550, 0.318752587,-0.728300154, 0.676476598,-0.109354243, 0.672065079, 0.736288011, 0.078794397, 0.133818775,-0.016107198,-0.990874946,148.658996582,-224.437240601,-1472.025146484, 0.152293593,,,,,,,,,,,,,,
4, 0.560925007, 0.766941965, 0.311710089, 0.821045816,-0.563597262,-0.090785354, 0.106051847, 0.306852013,-0.945830286,-12.049362183, 8.373709679,66.027191162, 0.319341123,-0.728400290, 0.676379025,-0.109290577, 0.671981335, 0.736377060, 0.078676522, 0.133694217,-0.016133223,-0.990891337,148.657669067,-224.438552856,-1472.023559570, 0.151912153,,,,,,,,,,,,,,
5, 0.560164928, 0.767503321, 0.311695248, 0.821504831,-0.563071191,-0.089892849, 0.106513545, 0.306413949,-0.945920408,-12.045287132, 8.371045113,66.024215698, 0.319121689,-0.728376150, 0.676416814,-0.109217592, 0.672025323, 0.736342430, 0.078624614, 0.133604556,-0.016128693,-0.990903497,148.657104492,-224.439071655,-1472.020507813, 0.152743697,,,,,,,,,,,,,,
6, 0.559831142, 0.767722726, 0.311754465, 0.821633041,-0.563040853,-0.088905081, 0.107276037, 0.305919617,-0.945994198,-12.043548584, 8.360308647,66.021171570, 0.319361240,-0.728282154, 0.676538229,-0.109091923, 0.672109544, 0.736236513, 0.078895323, 0.133693174,-0.015863666,-0.990895748,148.658264160,-224.439926147,-1472.023803711, 0.152751803,,,,,,,,,,,,,,
7, 0.559554398, 0.767835200, 0.311974257, 0.821771085,-0.562904060,-0.088494591, 0.107662320, 0.305888951,-0.945960224,-12.074476242, 8.371830940,66.018974304, 0.319109142,-0.728225887, 0.676532865,-0.109500401, 0.672086895, 0.736238360, 0.079071239, 0.134112686,-0.016012060,-0.990836740,148.658523560,-224.439086914,-1472.024291992, 0.151567236,,,,,,,,,,,,,,
8, 0.559624553, 0.767898381, 0.311692953, 0.821763635,-0.562886417,-0.088675618, 0.107353859, 0.305762976,-0.946035981,-12.073806763, 8.360816002,65.995422363, 0.318574041,-0.728276610, 0.676490843,-0.109422669, 0.672024429, 0.736280501, 0.079210162, 0.134150729,-0.015847793,-0.990834177,148.657760620,-224.439117432,-1472.023803711, 0.150826991,,,,,,,,,,,,,,
9, 0.559753358, 0.768124878, 0.310902327, 0.821697652,-0.563034356,-0.088347085, 0.107187107, 0.304920316,-0.946326852,-12.083457947, 8.364901543,66.037879944, 0.318056732,-0.728260994, 0.676505506,-0.109435789, 0.672060788, 0.736264229, 0.079052031, 0.134052798,-0.015976990,-0.990845382,148.658157349,-224.438598633,-1472.023559570, 0.152134314,,,,,,,,,,,,,,
10, 0.560341358, 0.767957330, 0.310256630, 0.821440041,-0.563242018,-0.089413069, 0.106084146, 0.304959059,-0.946438670,-12.066905022, 8.368378639,66.004150391, 0.319439620,-0.728248298, 0.676529288,-0.109373502, 0.672097266, 0.736241639, 0.078952409, 0.133938938,-0.016012674,-0.990860224,148.659042358,-224.436813354,-1472.019653320, 0.152111277,,,,,,,,,,,,,,
