Number of frames: 3884
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iStemMarker_GT x,iStemMarker_GT y,iStemMarker_GT z,iStemMarker_LT x,iStemMarker_LT y,iStemMarker_LT z,iStemMarker_P1 x,iStemMarker_P1 y,iStemMarker_P1 z,iStemMarker_P2 x,iStemMarker_P2 y,iStemMarker_P2 z,iStemMarker_P3 x,iStemMarker_P3 y,iStemMarker_P3 z,iStemMarker_P4 x,iStemMarker_P4 y,iStemMarker_P4 z,iStemMarker_P5 x,iStemMarker_P5 y,iStemMarker_P5 z,iStemMarker_P6 x,iStemMarker_P6 y,iStemMarker_P6 z,iStemMarker_SL x,iStemMarker_SL y,iStemMarker_SL z,iStemMarker_SH x,iStemMarker_SH y,iStemMarker_SH z,iStemMarker_SB x,iStemMarker_SB y,iStemMarker_SB z,iStemMarker_Surf1 x,iStemMarker_Surf1 y,iStemMarker_Surf1 z,iStemMarker_Surf2 x,iStemMarker_Surf2 y,iStemMarker_Surf2 z
11,32.751876831,-46.669185638,71.111953735,14.513751984,-55.509880066,73.547317505,31.635334015,-65.309196472,78.033081055,144.828079224,-253.666748047,-1591.236450195,130.933944702,-239.525390625,-1590.056030273,150.182449341,-234.337814331,-1590.719482422,-130.723205566,295.993225098,-139.443054199,-131.252365112,276.240966797,-136.697570801,-113.567024231,285.336883545,-138.713302612,19.462041855,36.748229980,93.637580872,39.783187866,53.174121857,80.207321167,-18.916099548,98.437515259,94.947479248,-11.501579285,99.081619263,123.981056213,-6.102941513,97.389305115,67.053924561,-20.742725372,62.550392151,94.882255554,-15.256084442,63.545173645,122.337982178,-5.526138306,52.294025421,65.939193726,28.054121017,42.329315186,96.093688965,40.807071686,57.468544006,100.607543945,26.235704422,57.328647614,97.126266479,40.433498383,55.826023102,107.278541565,43.652652740,57.658447266,94.849105835,
12,32.758380890,-46.687530518,71.084777832,14.525671959,-55.505382538,73.617576599,31.653886795,-65.309097290,78.043449402,144.824127197,-253.665252686,-1591.235229492,130.930709839,-239.525115967,-1590.059692383,150.179214478,-234.335769653,-1590.718383789,-130.767105103,296.005615234,-139.374771118,-131.295303345,276.255706787,-136.627639771,-113.609680176,285.350708008,-138.651275635,19.514118195,36.782585144,93.667068481,39.829734802,53.207416534,80.227134705,-18.863800049,98.471801758,94.987304688,-11.437504768,99.118446350,124.017723083,-6.061933994,97.421249390,67.088684082,-20.690256119,62.584648132,94.925781250,-15.192493439,63.581844330,122.379211426,-5.485367775,52.325870514,65.977531433,28.107173920,42.363922119,96.119300842,40.861873627,57.503616333,100.626640320,26.289085388,57.363342285,97.151405334,40.491004944,55.861660004,107.297927856,43.705131531,57.693031311,94.867004395,
13,32.701850891,-46.722408295,71.086273193,14.469066620,-55.510013580,73.707199097,31.603803635,-65.325126648,78.095977783,144.820419312,-253.668273926,-1591.241943359,130.928497314,-239.524475098,-1590.057983398,150.176239014,-234.335403442,-1590.716308594,-130.691238403,296.048583984,-139.354385376,-131.222381592,276.297668457,-136.613845825,-113.538429260,285.392883301,-138.623626709,19.432554245,36.744018555,93.697387695,39.757259369,53.172103882,80.275115967,-18.943124771,98.434700012,95.013618469,-11.534650803,99.071731567,124.048812866,-6.124154568,97.392387390,67.122497559,-20.771318436,62.547664642,94.939521790,-15.290386200,63.535827637,122.396659851,-5.549139977,52.297328949,65.997421265,28.024377823,42.324131012,96.156578064,40.777042389,57.461761475,100.676658630,26.206401825,57.323310852,97.192260742,40.402008057,55.817707062,107.347175598,43.623847961,57.652870178,94.918815613,
14,32.679355621,-46.740772247,71.109931946,14.450294495,-55.499660492,73.815971375,31.592178345,-65.321189880,78.166603088,144.818588257,-253.668395996,-1591.241699219,130.925674438,-239.525360107,-1590.056640625,150.173187256,-234.334793091,-1590.712402344,-130.705963135,296.065826416,-139.305999756,-131.235870361,276.313079834,-136.572586060,-113.551452637,285.409332275,-138.579772949,19.435001373,36.679191589,93.644508362,39.758705139,53.112758636,80.227508545,-18.942287445,98.368362427,94.984992981,-11.532630920,98.994941711,124.020027161,-6.124431133,97.336631775,67.092857361,-20.769517899,62.481300354,94.897842407,-15.287491798,63.459556580,122.355140686,-5.548244476,52.242012024,65.951263428,28.026773453,42.258647919,96.105415344,40.779216766,57.394943237,100.630485535,26.208431244,57.257381439,97.146720886,40.404487610,55.748443604,107.300483704,43.625785828,57.588249207,94.872673035,
15,32.658264160,-46.695964813,71.175117493,14.431080818,-55.441089630,73.938171387,31.576667786,-65.255401611,78.283187866,144.816741943,-253.667083740,-1591.245971680,130.923156738,-239.524398804,-1590.052001953,150.171401978,-234.334579468,-1590.719726563,-130.640182495,296.010253906,-139.493408203,-131.168899536,276.255737305,-136.755950928,-113.483070374,285.351409912,-138.761306763,19.456674576,36.669258118,93.539268494,39.782985687,53.100349426,80.123199463,-18.921401978,98.358383179,94.859649658,-11.517722130,98.990745544,123.896224976,-6.097825527,97.321243286,66.970451355,-20.748310089,62.471282959,94.779235840,-15.271921158,63.455001831,122.237403870,-5.521017551,52.226394653,65.837821960,28.047891617,42.249263763,96.000915527,40.799278259,57.386581421,100.525596619,26.229213715,57.248207092,97.038848877,40.423202515,55.741394043,107.195747375,43.647022247,57.578769684,94.768272400,
16,32.721122742,-46.676486969,71.203979492,14.500229836,-55.427040100,74.002822876,31.657157898,-65.228515625,78.331512451,144.820465088,-253.666275024,-1591.246093750,130.924240112,-239.524917603,-1590.061401367,150.174316406,-234.333450317,-1590.721191406,-130.730331421,296.023864746,-139.377670288,-131.255813599,276.268280029,-136.642135620,-113.569755554,285.364562988,-138.658462524,19.535575867,36.660320282,93.522232056,39.852142334,53.093765259,80.094261169,-18.843904495,98.347831726,94.876029968,-11.420516968,98.977043152,123.907524109,-6.039252281,97.314483643,66.977951050,-20.669540405,62.460685730,94.792587280,-15.174520493,63.441360474,122.247238159,-5.461525917,52.219806671,65.839607239,28.128246307,42.240367889,95.978637695,40.882141113,57.377620697,100.496513367,26.309713364,57.239120483,97.019607544,40.510662079,55.731624603,107.166732788,43.725975037,57.570602417,94.737205505,
17,32.744556427,-46.673114777,71.231864929,14.524885178,-55.401592255,74.113342285,31.690383911,-65.205718994,78.412879944,144.820495605,-253.666030884,-1591.237548828,130.927627563,-239.524475098,-1590.061767578,150.176620483,-234.333206177,-1590.717773438,-130.768524170,296.027832031,-139.331939697,-131.296218872,276.274383545,-136.588272095,-113.608100891,285.368713379,-138.611968994,19.521179199,36.748058319,93.644851685,39.836494446,53.174251556,80.206108093,-18.852779388,98.439384460,94.980766296,-11.423608780,99.079902649,124.010696411,-6.053727627,97.393486023,67.080703735,-20.681484222,62.552368164,94.912567139,-15.180966377,63.543865204,122.365661621,-5.480070114,52.298282623,65.960800171,28.114822388,42.328376770,96.097236633,40.870899200,57.466396332,100.606330872,26.297777176,57.327709198,97.132362366,40.500591278,55.823181152,107.277275085,43.713603973,57.656768799,94.846473694,
18,32.693702698,-46.719413757,71.236907959,14.473533630,-55.411479950,74.187011719,31.636970520,-65.231040955,78.456405640,144.821929932,-253.667587280,-1591.245361328,130.928939819,-239.524124146,-1590.068237305,150.175430298,-234.335098267,-1590.720947266,-130.760223389,296.058227539,-139.281234741,-131.286041260,276.303558350,-136.545196533,-113.600151062,285.401245117,-138.559768677,19.490894318,36.710903168,93.644920349,39.808200836,53.145000458,80.219009399,-18.892038345,98.396408081,94.992225647,-11.472165108,99.026954651,124.024543762,-6.083982468,97.362854004,67.095718384,-20.715738297,62.509166718,94.909683228,-15.224081993,63.490997314,122.364891052,-5.503721237,52.268161774,65.958908081,28.082986832,42.291473389,96.102188110,40.835525513,57.429565430,100.621154785,26.263515472,57.290164948,97.142501831,40.463333130,55.783748627,107.291381836,43.680030823,57.622497559,94.862205505,
19,32.617000580,-46.753326416,71.240989685,14.392422676,-55.403369904,74.265548706,31.549167633,-65.247520447,78.509696960,144.822891235,-253.668472290,-1591.245117188,130.929107666,-239.525665283,-1590.064331055,150.174850464,-234.336761475,-1590.721191406,-130.743164063,296.037170410,-139.340530396,-131.269302368,276.281097412,-136.604492188,-113.584861755,285.377899170,-138.619216919,19.497179031,36.678497314,93.581024170,39.815189362,53.111568451,80.154830933,-18.882261276,98.366149902,94.929359436,-11.461855888,98.996032715,123.961730957,-6.074722767,97.332115173,67.032669067,-20.707988739,62.479000092,94.846641541,-15.215793610,63.460296631,122.301734924,-5.497017860,52.237392426,65.895492554,28.089628220,42.258571625,96.038200378,40.843093872,57.395889282,100.556976318,26.271022797,57.257358551,97.078674316,40.470928192,55.750053406,107.227188110,43.687522888,57.588726044,94.797966003,
20,32.544372559,-46.799156189,71.214050293,14.315363884,-55.412765503,74.309463501,31.467218399,-65.279792786,78.514854431,144.822402954,-253.669219971,-1591.244750977,130.926589966,-239.527160645,-1590.062500000,150.173080444,-234.338409424,-1590.720703125,-130.744873047,296.028259277,-139.357971191,-131.271194458,276.272979736,-136.623535156,-113.586158752,285.369049072,-138.639358521,19.513900757,36.648723602,93.527938843,39.830886841,53.082366943,80.100822449,-18.864004135,98.337135315,94.884986877,-11.440592766,98.964599609,123.916595459,-6.059390068,97.304962158,66.986976624,-20.690546036,62.450035095,94.799705505,-15.195502281,63.429088593,122.254356384,-5.482812405,52.210319519,65.846206665,28.106731415,42.228416443,95.984596252,40.861007690,57.365100861,100.503257751,26.288568497,57.227149963,97.026451111,40.489486694,55.718750000,107.173439026,43.704833984,57.558307648,94.744010925,
21,32.472187042,-46.847194672,71.191986084,14.231387138,-55.424037933,74.344032288,31.378755569,-65.316703796,78.511718750,144.817398071,-253.669616699,-1591.242431641,130.923004150,-239.525695801,-1590.058471680,150.170410156,-234.337249756,-1590.717895508,-130.708435059,296.033996582,-139.377944946,-131.241882324,276.282440186,-136.635925293,-113.555236816,285.378326416,-138.646942139,19.408027649,36.737789154,93.687812805,39.733207703,53.164127350,80.264198303,-18.964887619,98.430274963,95.000694275,-11.555844307,99.068832397,124.035705566,-6.146489143,97.385589600,67.109420776,-20.794679642,62.543312073,94.929107666,-15.313194275,63.533004761,122.386062622,-5.573476315,52.290431976,65.987274170,28.000152588,42.317695618,96.146507263,40.753582001,57.455043793,100.665252686,26.182855606,57.317020416,97.181304932,40.378578186,55.811435699,107.335990906,43.600288391,57.645652771,94.907379150,
22,32.405891418,-46.902534485,71.160560608,14.167297363,-55.444931030,74.364654541,31.310281754,-65.359405518,78.494102478,144.818908691,-253.669174194,-1591.248413086,130.925811768,-239.527664185,-1590.061035156,150.173202515,-234.337982178,-1590.719238281,-130.685943604,296.054382324,-139.352905273,-131.216979980,276.302124023,-136.617584229,-113.531227112,285.398437500,-138.625198364,19.443466187,36.688407898,93.627578735,39.767845154,53.120361328,80.209701538,-18.932945251,98.378280640,94.960868835,-11.524230003,99.007560730,123.996162415,-6.114204407,97.343650818,67.069335938,-20.760707855,62.491245270,94.877113342,-15.279569626,63.472072601,122.334526062,-5.538650513,52.248912811,65.932067871,28.035240173,42.267959595,96.088279724,40.787761688,57.404518127,100.612243652,26.217086792,57.266849518,97.128067017,40.412796021,55.758659363,107.282341003,43.634513855,57.597221375,94.854476929,
