Number of frames: 4538
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1, 0.420233965, 0.743565679, 0.520109177, 0.696251035,-0.631796896, 0.340686411, 0.581926048, 0.218958572,-0.783210874,-20.193759918, 2.622048378,63.226005554, 0.296084553,-0.622663081, 0.777372897, 0.089342408, 0.773784280, 0.628693104,-0.077477835,-0.116398126, 0.020889161,-0.992982924,136.124114990,-199.250320435,-1477.192016602, 0.128982544,,,,,,,,,,,,,,
2, 0.419807136, 0.743609369, 0.520391285, 0.696634650,-0.631518364, 0.340418458, 0.581775010, 0.219612494,-0.783140004,-20.199476242, 2.661524296,63.209453583, 0.296012133,-0.622627378, 0.777461350, 0.088819683, 0.773830593, 0.628602326,-0.077751376,-0.116280951, 0.020321250,-0.993008435,136.122421265,-199.250869751,-1477.192626953, 0.129172191,,,,,,,,,,,,,,
3, 0.419422299, 0.743634522, 0.520665526, 0.696704447,-0.631380498, 0.340531379, 0.581968963, 0.219923541,-0.782908559,-20.178775787, 2.671110630,63.208042145, 0.296484679,-0.622644126, 0.777438641, 0.088901624, 0.773772717, 0.628634870,-0.078064151,-0.116576746, 0.020183466,-0.992976606,136.122985840,-199.251403809,-1477.195190430, 0.128952250,,,,,,,,,,,,,,
4, 0.418844283, 0.743547022, 0.521255553, 0.696623683,-0.631325305, 0.340798706, 0.582481682, 0.220377386,-0.782399476,-20.193166733, 2.658396244,63.225845337, 0.296180487,-0.622660220, 0.777425885, 0.088900410, 0.773779154, 0.628647387,-0.077899076,-0.116447762, 0.020284630,-0.992989719,136.122573853,-199.251098633,-1477.191894531, 0.128326595,,,,,,,,,,,,,,
5, 0.418652147, 0.743360221, 0.521676123, 0.696640611,-0.631393433, 0.340637952, 0.582599580, 0.220811978,-0.782189131,-20.175771713, 2.636583090,63.234443665, 0.295141637,-0.622581065, 0.777440727, 0.089323707, 0.773805559, 0.628617644,-0.077877425,-0.116695538, 0.020634172,-0.992953420,136.123626709,-199.250946045,-1477.190429688, 0.128272042,,,,,,,,,,,,,,
6, 0.417933375, 0.743117094, 0.522598088, 0.696536601,-0.631413639, 0.340813190, 0.583239615, 0.221571460,-0.781497061,-20.177286148, 2.625186920,63.224792480, 0.296488315,-0.622630477, 0.777389526, 0.089424841, 0.773786485, 0.628673196,-0.077617608,-0.116558120, 0.020868644,-0.992964566,136.124465942,-199.251632690,-1477.193237305, 0.128471613,,,,,,,,,,,,,,
7, 0.417272508, 0.743172467, 0.523047149, 0.696678102,-0.631159782, 0.340994030, 0.583543718, 0.222108081,-0.781117618,-20.198545456, 2.639271259,63.248443604, 0.295000494,-0.622631490, 0.777432024, 0.089047685, 0.773816824, 0.628631055,-0.077656478,-0.116350763, 0.020555228,-0.992995441,136.124618530,-199.250488281,-1477.194458008, 0.128437951,,,,,,,,,,,,,,
8, 0.416937530, 0.743353903, 0.523056507, 0.696715415,-0.630944133, 0.341316849, 0.583738625, 0.222113699,-0.780970335,-20.185106277, 2.621451616,63.241230011, 0.294077992,-0.622664809, 0.777373075, 0.089328445, 0.773761153, 0.628697336,-0.077674620,-0.116542719, 0.020753626,-0.992968857,136.127548218,-199.251296997,-1477.194702148, 0.129230201,,,,,,,,,,,,,,
9, 0.416838169, 0.743483901, 0.522950888, 0.696944356,-0.630747437, 0.341212869, 0.583536208, 0.222237125,-0.781086504,-20.172170639, 2.634840727,63.215877533, 0.296079904,-0.622598529, 0.777429640, 0.089298472, 0.773799956, 0.628630996,-0.077824600,-0.116638936, 0.020645672,-0.992959797,136.128875732,-199.251083374,-1477.194213867, 0.128720328,,,,,,,,,,,,,,
10, 0.416713804, 0.743896902, 0.522462368, 0.697092116,-0.630390584, 0.341570318, 0.583448470, 0.221867338,-0.781257153,-20.184818268, 2.655283689,63.231891632, 0.295684934,-0.622622073, 0.777454793, 0.088914491, 0.773801684, 0.628612280,-0.077958614,-0.116502039, 0.020263428,-0.992983758,136.130630493,-199.251281738,-1477.194702148, 0.128376946,,,,,,,,,,,,,,
