Number of frames: 3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
11,0.840314507,0.524126232,0.138431355,0.540091395,-0.787487328,-0.296925753,-0.046613634,0.324276596,-0.944813132,-3.864655733,6.173491478,58.84653473,0.336182743,-0.701092362,0.711651802,-0.044958103,0.710588217,0.702517986,0.039152291,0.05944667,-0.004497326,-0.998221338,141.9814911,-242.5099487,-1590.670654,0.144413739,-0.031588204,0.998590946,0.042641111,-0.989953637,-0.037140574,0.136426598,0.137818083,-0.037903253,0.989732027,-125.1808319,285.8569946,-138.2845612,0.109247856
12,0.84060818,0.524823904,0.133931637,0.539203107,-0.787387908,-0.298797935,-0.051360168,0.323388338,-0.944871426,-3.862084866,6.169201374,58.88447189,0.337656438,-0.701123655,0.711637616,-0.044694211,0.710577488,0.702533185,0.039073765,0.059205528,-0.004363159,-0.998236299,141.9780121,-242.508667,-1590.671143,0.144764394,-0.031527348,0.998575687,0.043041661,-0.989941955,-0.037138853,0.136512205,0.137916297,-0.03830488,0.98970288,-125.223999,285.870636,-138.2178497,0.109685376
13,0.841046035,0.525081873,0.130117729,0.538078368,-0.787191391,-0.301332712,-0.055796791,0.323448211,-0.94459939,-3.899882317,6.147437096,58.88669205,0.337898314,-0.701069355,0.711684108,-0.044804703,0.710596025,0.702487648,0.039552335,0.059623517,-0.004109113,-0.998212457,141.9750519,-242.5093384,-1590.672119,0.144054115,-0.031661008,0.998597264,0.042439803,-0.989984334,-0.03717614,0.136195078,0.137581781,-0.037702665,0.989772618,-125.15065,285.9129944,-138.1972351,0.110066414
14,0.841354847,0.52549082,0.126417413,0.537128806,-0.786922216,-0.303720474,-0.060121648,0.323439121,-0.94433707,-3.913454294,6.138150215,58.91472244,0.339866132,-0.701119661,0.71164,-0.04471869,0.710541904,0.702533305,0.039713141,0.059677828,-0.003930843,-0.998209953,141.9724884,-242.5094757,-1590.670288,0.143939137,-0.031628858,0.998596668,0.042476643,-0.990035534,-0.037135541,0.135833114,0.137219891,-0.03775714,0.989820719,-125.1643906,285.9293823,-138.1527405,0.109826721
15,0.84143132,0.525807559,0.124578454,0.536665976,-0.786234915,-0.306307524,-0.063110866,0.324593753,-0.943745673,-3.938627243,6.163414478,58.90435028,0.340405583,-0.701084495,0.711635351,-0.045339078,0.710538924,0.70253545,0.039729089,0.060124934,-0.004361729,-0.998181343,141.9704285,-242.5086517,-1590.672607,0.143643379,-0.031648438,0.998604715,0.042272642,-0.990008652,-0.037134346,0.136029005,0.137408972,-0.037545174,0.989802539,-125.0973358,285.872406,-138.3368378,0.109333962
16,0.84110564,0.526627839,0.123306349,0.536964297,-0.78569001,-0.307181507,-0.064889766,0.324583203,-0.943628669,-3.917548895,6.155299664,58.93561935,0.340846807,-0.701166153,0.711584449,-0.044873785,0.710497856,0.70258826,0.039529156,0.059656125,-0.004166223,-0.998210311,141.9730072,-242.5081787,-1590.67627,0.143165097,-0.031518094,0.998580396,0.042939994,-0.990026116,-0.037092514,0.135913342,0.137313142,-0.038227987,0.989789724,-125.1852493,285.885498,-138.2260895,0.108993143
17,0.841300786,0.527080953,0.119994402,0.53613627,-0.785224199,-0.309807867,-0.069071315,0.324974954,-0.943196952,-3.893588781,6.153875351,58.94113922,0.340823591,-0.701129317,0.71163857,-0.044589531,0.710570991,0.702533185,0.039191667,0.059215926,-0.004205602,-0.998236299,141.9749146,-242.5078583,-1590.672363,0.144133627,-0.031575277,0.998569667,0.043147229,-0.989966869,-0.037193362,0.136316597,0.137726396,-0.03841009,0.989725232,-125.2242432,285.8902588,-138.1773529,0.108805746
18,0.841857672,0.52690506,0.11681895,0.534795821,-0.785319865,-0.311875105,-0.072588332,0.325028718,-0.942914188,-3.902751446,6.138134956,58.94482803,0.342912853,-0.70112735,0.711647749,-0.044474218,0.710567713,0.702525198,0.039393809,0.059278771,-0.003981869,-0.998233557,141.9754334,-242.5088959,-1590.678223,0.144379318,-0.031481739,0.998586953,0.042814072,-0.990023375,-0.037040457,0.135947227,0.137340978,-0.038107079,0.989790559,-125.2154388,285.9209595,-138.1286469,0.10898149
19,0.842635512,0.52639401,0.113466591,0.533042014,-0.78550905,-0.314391017,-0.076364517,0.325399518,-0.942487955,-3.915137529,6.141955376,58.92725372,0.341916949,-0.701144874,0.711616218,-0.044699997,0.71053499,0.702556252,0.039428849,0.059462477,-0.004115578,-0.998221993,141.9756165,-242.5102539,-1590.67688,0.144500494,-0.031535119,0.998584151,0.042838547,-0.990022779,-0.037096325,0.135936439,0.13733314,-0.038124368,0.989790916,-125.1990738,285.8986511,-138.1880341,0.109002642
20,0.84331423,0.526052713,0.109953061,0.531455874,-0.785915434,-0.316056132,-0.079848379,0.324969858,-0.942347527,-3.934297562,6.140436172,58.9325943,0.3419348,-0.701172292,0.711584628,-0.044774391,0.710502088,0.702588141,0.039454453,0.059533142,-0.004147928,-0.998217702,141.9740295,-242.5115509,-1590.676025,0.144182503,-0.031543233,0.998579383,0.042943947,-0.990032732,-0.037115879,0.135859028,0.13725993,-0.038230479,0.989796996,-125.2007065,285.8900452,-138.206955,0.109218478
