Number of frames: 4223
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,29.774705887,-37.727706909,60.132534027,13.589210510,-50.216201782,58.730758667,32.237243652,-57.512680054,61.118766785,178.500656128,-170.499053955,-1529.323242188,165.382354736,-156.061218262,-1525.613403320,184.752395630,-151.592575073,-1526.908569336,,,,,,,,,,187.161804199,-156.152359009,-1592.520507813,186.190490723,-138.998382568,-1570.452026367,254.254302979,-128.392974854,-1585.658569336,234.306808472,-109.096008301,-1547.377563477,195.800582886,-74.851860046,-1562.539916992,194.118957520,-85.488693237,-1552.263916016,214.372207642,-122.709129333,-1547.432128906,241.206985474,-142.017425537,-1591.718627930,186.657089233,-147.505142212,-1589.401245117,187.021850586,-126.034881592,-1589.724975586,197.746963501,-136.342529297,-1589.205810547,186.097076416,-126.196487427,-1594.572265625,185.611175537,-125.395957947,-1584.271362305,
2,29.803005219,-37.728340149,60.103668213,13.615270615,-50.212287903,58.730724335,32.261192322,-57.508773804,61.105251312,178.500015259,-170.497451782,-1529.314208984,165.380172729,-156.060379028,-1525.614257813,184.750549316,-151.591583252,-1526.907470703,,,,,,,,,,187.173980713,-156.181365967,-1592.516601563,186.197082520,-139.017044067,-1570.456420898,254.263580322,-128.415252686,-1585.653564453,234.306915283,-109.101310730,-1547.385742188,195.802154541,-74.866302490,-1562.572509766,194.118881226,-85.498390198,-1552.291870117,214.373046875,-122.715492249,-1547.438110352,241.218246460,-142.043228149,-1591.709838867,186.668151855,-147.532699585,-1589.401611328,187.031860352,-126.062576294,-1589.735351563,197.757415771,-136.369415283,-1589.208984375,186.108139038,-126.226509094,-1594.582641602,185.620010376,-125.421157837,-1584.282226563,
3,29.845975876,-37.726219177,60.053260803,13.662785530,-50.218563080,58.690563202,32.312805176,-57.507461548,61.052074432,178.498611450,-170.498123169,-1529.310791016,165.379043579,-156.059005737,-1525.618286133,184.749725342,-151.589904785,-1526.903442383,,,,,,,,,,187.201126099,-156.189331055,-1592.511108398,186.215530396,-139.022186279,-1570.453613281,254.289077759,-128.425537109,-1585.622680664,234.316848755,-109.105819702,-1547.365966797,195.820251465,-74.870895386,-1562.573608398,194.132049561,-85.501602173,-1552.292358398,214.382339478,-122.719055176,-1547.425170898,241.245712280,-142.053665161,-1591.682983398,186.694366455,-147.540252686,-1589.397460938,187.059234619,-126.070182800,-1589.733764648,197.784072876,-136.377471924,-1589.201538086,186.137588501,-126.234680176,-1594.581542969,185.645065308,-125.428009033,-1584.281372070,
4,29.866384506,-37.690975189,60.024494171,13.693566322,-50.194091797,58.647590637,32.351963043,-57.472030640,61.005851746,178.496902466,-170.499649048,-1529.315185547,165.380386353,-156.060272217,-1525.616210938,184.747726440,-151.589645386,-1526.903564453,,,,,,,,,,187.187301636,-156.172470093,-1592.513183594,186.205856323,-139.011276245,-1570.450927734,254.276229858,-128.409606934,-1585.630615234,234.311355591,-109.100456238,-1547.364746094,195.811279297,-74.861984253,-1562.555541992,194.125259399,-85.495475769,-1552.276855469,214.377044678,-122.713951111,-1547.423706055,241.231857300,-142.036285400,-1591.692016602,186.681030273,-147.524230957,-1589.397094727,187.045547485,-126.054077148,-1589.727661133,197.770629883,-136.361358643,-1589.200317383,186.122940063,-126.217292786,-1594.575317383,185.632446289,-125.413391113,-1584.274902344,
5,29.913965225,-37.653221130,59.974666595,13.750283241,-50.175800323,58.605106354,32.414779663,-57.432468414,60.953613281,178.499771118,-170.496780396,-1529.317138672,165.380264282,-156.060043335,-1525.615600586,184.749023438,-151.590347290,-1526.903442383,,,,,,,,,,187.186340332,-156.161590576,-1592.513549805,186.204803467,-139.003677368,-1570.448730469,254.274185181,-128.396560669,-1585.629150391,234.309661865,-109.093963623,-1547.359863281,195.807449341,-74.855087280,-1562.544311523,194.122283936,-85.490165710,-1552.267089844,214.375976563,-122.708396912,-1547.420043945,241.230239868,-142.022964478,-1591.692138672,186.679763794,-147.513839722,-1589.396118164,187.043243408,-126.043617249,-1589.723632813,197.768829346,-136.350463867,-1589.198120117,186.120483398,-126.206161499,-1594.571289063,185.630294800,-125.403793335,-1584.270629883,
6,29.967779160,-37.635368347,59.932376862,13.818501472,-50.167488098,58.552986145,32.486793518,-57.414726257,60.911407471,178.499359131,-170.496963501,-1529.321166992,165.380554199,-156.059417725,-1525.622314453,184.749694824,-151.590438843,-1526.904418945,,,,,,,,,,187.204635620,-156.157928467,-1592.514282227,186.218322754,-139.001403809,-1570.448486328,254.292633057,-128.398254395,-1585.609619141,234.319015503,-109.096748352,-1547.344482422,195.823471069,-74.854042053,-1562.537231445,194.134719849,-85.489685059,-1552.261108398,214.384368896,-122.709724426,-1547.411132813,241.249359131,-142.023300171,-1591.677001953,186.697845459,-147.510345459,-1589.396362305,187.062988281,-126.040122986,-1589.722412109,197.787673950,-136.347793579,-1589.194580078,186.141540527,-126.202270508,-1594.570190430,185.648590088,-125.400558472,-1584.269775391,
7,29.993755341,-37.647068024,59.937988281,13.845101357,-50.181457520,58.575954437,32.513339996,-57.424644470,60.952312469,178.498352051,-170.500732422,-1529.320190430,165.381179810,-156.058715820,-1525.615600586,184.750350952,-151.591369629,-1526.904418945,,,,,,,,,,187.181991577,-156.158111572,-1592.515502930,186.204864502,-139.002197266,-1570.448852539,254.274703979,-128.404205322,-1585.633666992,234.316192627,-109.102249146,-1547.360839844,195.818130493,-74.855888367,-1562.538940430,194.132110596,-85.491714478,-1552.262573242,214.380386353,-122.713569641,-1547.420776367,241.228164673,-142.027984619,-1591.696777344,186.677001953,-147.510574341,-1589.397216797,187.043807983,-126.040382385,-1589.722534180,197.767837524,-136.348953247,-1589.198974609,186.120635986,-126.202308655,-1594.570068359,185.631393433,-125.400871277,-1584.269409180,
8,30.090488434,-37.731258392,59.950733185,13.939329147,-50.271331787,58.657077789,32.615497589,-57.497943878,61.074222565,178.499862671,-170.498931885,-1529.314941406,165.380630493,-156.060317993,-1525.611816406,184.751098633,-151.592025757,-1526.899902344,,,,,,,,,,187.185974121,-156.159301758,-1592.510498047,186.206405640,-139.002853394,-1570.444335938,254.276351929,-128.400466919,-1585.625610352,234.314331055,-109.098854065,-1547.354370117,195.814697266,-74.855628967,-1562.535644531,194.128845215,-85.491287231,-1552.259155273,214.379486084,-122.711585999,-1547.415161133,241.231109619,-142.025329590,-1591.689208984,186.680206299,-147.511718750,-1589.392456055,187.045516968,-126.041503906,-1589.718383789,197.770233154,-136.349304199,-1589.193847656,186.122619629,-126.203628540,-1594.565917969,185.632736206,-125.401939392,-1584.265380859,
9,30.265804291,-37.676959991,60.033748627,14.168407440,-50.280349731,58.639698029,32.841476440,-57.438835144,61.213920593,178.498077393,-170.498291016,-1529.323608398,165.378784180,-156.060333252,-1525.614746094,184.750900269,-151.589340210,-1526.903564453,,,,,,,,,,187.177474976,-156.139083862,-1592.515747070,186.199874878,-138.989028931,-1570.444580078,254.267868042,-128.380462646,-1585.630249023,234.309539795,-109.090438843,-1547.351318359,195.807327271,-74.843841553,-1562.518432617,194.122894287,-85.482513428,-1552.244750977,214.375045776,-122.703674316,-1547.413818359,241.222320557,-142.003921509,-1591.696289063,186.671813965,-147.492416382,-1589.395141602,187.036529541,-126.022094727,-1589.714965820,197.761566162,-136.329757690,-1589.194580078,186.113113403,-126.182846069,-1594.562500000,185.624328613,-125.384147644,-1584.261596680,
10,30.364765167,-37.613006592,59.932830811,14.285820961,-50.235660553,58.556308746,32.969654083,-57.367206573,61.172157288,178.494567871,-170.499343872,-1529.313598633,165.376907349,-156.060028076,-1525.615112305,184.749023438,-151.588851929,-1526.905151367,,,,,,,,,,187.179626465,-156.180557251,-1592.514282227,186.200927734,-139.016571045,-1570.453979492,254.270217896,-128.419235229,-1585.641601563,234.309722900,-109.104606628,-1547.376220703,195.809402466,-74.866638184,-1562.567626953,194.124008179,-85.498794556,-1552.287353516,214.374908447,-122.717391968,-1547.431640625,241.224761963,-142.046203613,-1591.700073242,186.673980713,-147.531906128,-1589.399169922,187.039230347,-126.061805725,-1589.732543945,197.763992310,-136.369415283,-1589.204956055,186.116134644,-126.225585938,-1594.579956055,185.626678467,-125.420387268,-1584.279663086,
