Number of frames: 4742
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,38.604080200,-41.343273163,51.955081940,21.186550140,-51.072158813,47.531070709,37.303283691,-61.123622894,54.538776398,142.694885254,-198.343139648,-1530.981567383,130.283432007,-183.045547485,-1534.020019531,149.874176025,-179.661712646,-1531.908813477,,,,,,,,,,155.693450928,-206.134201050,-1599.596923828,155.612945557,-181.534896851,-1618.574096680,225.058044434,-187.985183716,-1592.681030273,215.217025757,-176.341186523,-1629.443603516,212.273498535,-172.778869629,-1557.623901367,199.849319458,-210.640579224,-1595.342895508,191.118133545,-202.354736328,-1627.106079102,184.453155518,-197.626831055,-1558.461303711,154.042129517,-188.346862793,-1599.840209961,155.772277832,-168.764190674,-1594.888671875,166.070892334,-179.427886963,-1597.201416016,154.241699219,-166.938171387,-1600.505493164,154.087677002,-169.116165161,-1590.462036133,
2,38.367057800,-41.439895630,52.148250580,20.947536469,-51.130851746,47.654762268,37.004409790,-61.208385468,54.737022400,142.697570801,-198.343093872,-1530.984252930,130.287048340,-183.045745850,-1534.018554688,149.878402710,-179.661819458,-1531.910400391,,,,,,,,,,155.684707642,-206.126892090,-1599.602661133,155.601837158,-181.525360107,-1618.576904297,225.051147461,-187.981201172,-1592.696533203,215.204238892,-176.332504272,-1629.456054688,212.273162842,-172.778533936,-1557.635375977,199.841156006,-210.635360718,-1595.356689453,191.104812622,-202.345458984,-1627.117553711,184.451782227,-197.625411987,-1558.470947266,154.033996582,-188.339462280,-1599.843627930,155.765686035,-168.757446289,-1594.890136719,166.063522339,-179.421234131,-1597.205810547,154.234222412,-166.930694580,-1600.506347656,154.081848145,-169.109878540,-1590.463134766,
3,38.091251373,-41.642211914,52.225318909,20.605686188,-51.242424011,47.814632416,36.627147675,-61.388721466,54.901504517,142.699722290,-198.344818115,-1530.985595703,130.288528442,-183.046310425,-1534.022583008,149.879043579,-179.664672852,-1531.913208008,,,,,,,,,,155.690658569,-206.135543823,-1599.602416992,155.609771729,-181.535842896,-1618.579101563,225.057006836,-187.990844727,-1592.692993164,215.213119507,-176.345504761,-1629.454345703,212.276809692,-172.784454346,-1557.634155273,199.846679688,-210.644653320,-1595.352783203,191.112884521,-202.357650757,-1627.114990234,184.454895020,-197.630722046,-1558.469360352,154.040390015,-188.348083496,-1599.845214844,155.772186279,-168.765625000,-1594.893432617,166.069931030,-179.429885864,-1597.207397461,154.241180420,-166.939392090,-1600.510009766,154.087997437,-169.117584229,-1590.466674805,
4,37.865112305,-41.829715729,52.329143524,20.324737549,-51.365711212,47.990627289,36.308902740,-61.559913635,55.077754974,142.697418213,-198.345413208,-1530.988281250,130.288146973,-183.046859741,-1534.022338867,149.877655029,-179.663711548,-1531.917602539,,,,,,,,,,155.674392700,-206.136138916,-1599.607910156,155.589706421,-181.536544800,-1618.584594727,225.042495728,-187.992324829,-1592.713500977,215.190750122,-176.347045898,-1629.472900391,212.270126343,-172.785583496,-1557.652099609,199.831283569,-210.645812988,-1595.367797852,191.090682983,-202.358856201,-1627.128173828,184.447692871,-197.631500244,-1558.481201172,154.024307251,-188.348663330,-1599.850341797,155.757446289,-168.766204834,-1594.899047852,166.054550171,-179.430618286,-1597.215209961,154.225250244,-166.939987183,-1600.515380859,154.074218750,-169.118118286,-1590.471923828,
5,37.649391174,-42.023914337,52.414463043,20.073118210,-51.500495911,48.099269867,36.021106720,-61.748291016,55.200325012,142.698074341,-198.347290039,-1530.993041992,130.288574219,-183.049209595,-1534.022094727,149.875091553,-179.665222168,-1531.908935547,,,,,,,,,,155.699172974,-206.096343994,-1599.612792969,155.617538452,-181.485565186,-1618.575073242,225.062484741,-187.947219849,-1592.684448242,215.221542358,-176.281585693,-1629.440185547,212.276245117,-172.762893677,-1557.618286133,199.855239868,-210.602554321,-1595.360473633,191.124221802,-202.298034668,-1627.118896484,184.457458496,-197.612091064,-1558.471435547,154.046752930,-188.308959961,-1599.845336914,155.775573730,-168.729187012,-1594.881958008,166.074905396,-179.390838623,-1597.200927734,154.245010376,-166.899856567,-1600.497680664,154.090896606,-169.083953857,-1590.455566406,
6,37.464282990,-42.170196533,52.496055603,19.843729019,-51.588333130,48.250297546,35.765834808,-61.881706238,55.350128174,142.695892334,-198.348480225,-1530.990112305,130.285079956,-183.051239014,-1534.020141602,149.873275757,-179.667541504,-1531.907836914,,,,,,,,,,155.693893433,-206.104309082,-1599.609619141,155.611602783,-181.495239258,-1618.574096680,225.057556152,-187.954818726,-1592.685668945,215.215179443,-176.292465210,-1629.442016602,212.272781372,-172.767303467,-1557.620361328,199.850112915,-210.610290527,-1595.358642578,191.117843628,-202.308609009,-1627.117553711,184.453872681,-197.616455078,-1558.470092773,154.041534424,-188.316940308,-1599.843750000,155.770629883,-168.736724854,-1594.882202148,166.069824219,-179.398620605,-1597.200561523,154.239852905,-166.907897949,-1600.497924805,154.086135864,-169.091079712,-1590.455688477,
7,37.305545807,-42.317806244,52.608810425,19.638671875,-51.686969757,48.428119659,35.541069031,-62.010841370,55.511165619,142.696426392,-198.347900391,-1530.990844727,130.282775879,-183.049285889,-1534.016235352,149.874069214,-179.665313721,-1531.911621094,,,,,,,,,,155.666366577,-206.102935791,-1599.615722656,155.576278687,-181.493942261,-1618.580322266,225.032760620,-187.953125000,-1592.719970703,215.175430298,-176.290954590,-1629.472412109,212.262130737,-172.765518188,-1557.649658203,199.824325562,-210.608718872,-1595.382690430,191.079147339,-202.307205200,-1627.138061523,184.442977905,-197.614791870,-1558.487915039,154.013839722,-188.315567017,-1599.849243164,155.744857788,-168.735336304,-1594.888427734,166.043151855,-179.397201538,-1597.210937500,154.211791992,-166.906539917,-1600.503662109,154.062164307,-169.089675903,-1590.461303711,
8,37.211040497,-42.502059937,52.659790039,19.503944397,-51.827655792,48.559017181,35.400672913,-62.182079315,55.613502502,142.696136475,-198.345901489,-1530.985717773,130.281600952,-183.047470093,-1534.018310547,149.872314453,-179.665222168,-1531.906372070,,,,,,,,,,155.691390991,-206.110931396,-1599.604614258,155.608428955,-181.504592896,-1618.572631836,225.054977417,-187.959594727,-1592.684570313,215.211746216,-176.302658081,-1629.442504883,212.270706177,-172.767181396,-1557.621337891,199.847747803,-210.615768433,-1595.353881836,191.114761353,-202.318756104,-1627.113769531,184.452072144,-197.616806030,-1558.466918945,154.038818359,-188.323608398,-1599.841186523,155.767776489,-168.742660522,-1594.882568359,166.067047119,-179.404769897,-1597.199584961,154.236862183,-166.914657593,-1600.498535156,154.083358765,-169.096405029,-1590.455932617,
9,37.085735321,-42.688991547,52.713287354,19.340440750,-51.969573975,48.673595428,35.226577759,-62.360103607,55.714897156,142.691116333,-198.347610474,-1530.989501953,130.282257080,-183.047668457,-1534.015869141,149.868392944,-179.665863037,-1531.901245117,,,,,,,,,,155.694015503,-206.082672119,-1599.610473633,155.614440918,-181.467864990,-1618.567504883,225.058059692,-187.938766479,-1592.675537109,215.219131470,-176.264801025,-1629.429199219,212.271301270,-172.761199951,-1557.606811523,199.849670410,-210.592163086,-1595.357421875,191.120315552,-202.280441284,-1627.114379883,184.451202393,-197.608688354,-1558.466186523,154.042572021,-188.295135498,-1599.839355469,155.772262573,-168.716522217,-1594.871704102,166.071105957,-179.378234863,-1597.192504883,154.242019653,-166.885910034,-1600.487060547,154.087402344,-169.072128296,-1590.445434570,
10,37.032928467,-42.829921722,52.785278320,19.266136169,-52.079040527,48.768024445,35.136749268,-62.490989685,55.812892914,142.692413330,-198.345611572,-1530.984985352,130.282775879,-183.047943115,-1534.023071289,149.872100830,-179.666091919,-1531.906616211,,,,,,,,,,155.706710815,-206.124160767,-1599.598876953,155.631835938,-181.520965576,-1618.570922852,225.070510864,-187.979827881,-1592.662841797,215.238723755,-176.327819824,-1629.425415039,212.278396606,-172.780090332,-1557.605590820,199.861358643,-210.633483887,-1595.335205078,191.138061523,-202.340713501,-1627.098876953,184.457092285,-197.626586914,-1558.454711914,154.056274414,-188.336685181,-1599.838867188,155.786163330,-168.755126953,-1594.882934570,166.084823608,-179.418823242,-1597.195434570,154.257003784,-166.927871704,-1600.499755859,154.100509644,-169.107940674,-1590.456787109,
11,36.976711273,-42.979324341,52.878215790,19.200845718,-52.209388733,48.844676971,35.055038452,-62.634880066,55.898307800,142.692871094,-198.345733643,-1530.982543945,130.283569336,-183.048553467,-1534.019653320,149.872512817,-179.665908813,-1531.902465820,,,,,,,,,,155.709579468,-206.118713379,-1599.596679688,155.634658813,-181.514022827,-1618.566772461,225.072769165,-187.973281860,-1592.657226563,215.241729736,-176.318618774,-1629.419189453,212.279312134,-172.776611328,-1557.599121094,199.864227295,-210.627319336,-1595.332153320,191.141616821,-202.332260132,-1627.095458984,184.458618164,-197.623687744,-1558.451049805,154.058746338,-188.331253052,-1599.835327148,155.788024902,-168.750045776,-1594.877807617,166.087005615,-179.413314819,-1597.190795898,154.258987427,-166.922378540,-1600.494506836,154.102249146,-169.103240967,-1590.451660156,
12,36.959568024,-43.118568420,52.938804626,19.177446365,-52.342658997,48.916587830,35.027214050,-62.772045135,55.972244263,142.695510864,-198.345794678,-1530.980468750,130.285491943,-183.048034668,-1534.017700195,149.873001099,-179.665206909,-1531.903564453,,,,,,,,,,155.703155518,-206.125015259,-1599.595581055,155.624862671,-181.522369385,-1618.568359375,225.066604614,-187.976333618,-1592.667236328,215.230331421,-176.325973511,-1629.429077148,212.277191162,-172.776367188,-1557.609008789,199.858535767,-210.631576538,-1595.336303711,191.131469727,-202.340240479,-1627.099365234,184.457275391,-197.624542236,-1558.454589844,154.051651001,-188.337646484,-1599.835937500,155.780883789,-168.755844116,-1594.880737305,166.079940796,-179.418991089,-1597.193969727,154.251037598,-166.928848267,-1600.497436523,154.095687866,-169.108627319,-1590.454345703,
13,36.999111176,-43.236186981,53.006317139,19.219245911,-52.463909149,48.980354309,35.069644928,-62.888534546,56.045780182,142.696380615,-198.345504761,-1530.976318359,130.285186768,-183.047653198,-1534.020874023,149.873184204,-179.664642334,-1531.906005859,,,,,,,,,,155.709960938,-206.150192261,-1599.587280273,155.633239746,-181.554809570,-1618.569580078,225.072570801,-187.998214722,-1592.659301758,215.239685059,-176.361999512,-1629.426513672,212.279693604,-172.784957886,-1557.608276367,199.864974976,-210.654708862,-1595.322265625,191.140838623,-202.375610352,-1627.089233398,184.460098267,-197.633712769,-1558.446899414,154.058303833,-188.362930298,-1599.834594727,155.786880493,-168.779220581,-1594.886718750,166.086257935,-179.443161011,-1597.194946289,154.257553101,-166.954376221,-1600.504272461,154.101287842,-169.130325317,-1590.460449219,
14,37.006610870,-43.340812683,53.082450867,19.235391617,-52.574645996,49.021289825,35.074958801,-62.998584747,56.109436035,142.697158813,-198.345703125,-1530.978881836,130.285903931,-183.047698975,-1534.022460938,149.874206543,-179.664535522,-1531.903442383,,,,,,,,,,155.722808838,-206.136169434,-1599.589233398,155.648864746,-181.536895752,-1618.566406250,225.083862305,-187.984237671,-1592.645507813,215.257095337,-176.340682983,-1629.411987305,212.284637451,-172.778411865,-1557.593505859,199.877166748,-210.640686035,-1595.317382813,191.158355713,-202.355239868,-1627.084228516,184.465667725,-197.627548218,-1558.442016602,154.070831299,-188.348892212,-1599.833129883,155.798171997,-168.766159058,-1594.880981445,166.098159790,-179.429412842,-1597.189575195,154.269775391,-166.940200806,-1600.498413086,154.111816406,-169.118194580,-1590.454956055,
15,36.964450836,-43.429626465,53.129901886,19.191289902,-52.653572083,49.065761566,35.026298523,-63.085731506,56.163429260,142.694992065,-198.345520020,-1530.982788086,130.285430908,-183.046768188,-1534.018676758,149.873275757,-179.664550781,-1531.903320313,,,,,,,,,,155.705215454,-206.116439819,-1599.598266602,155.628372192,-181.511459351,-1618.568115234,225.068878174,-187.970565796,-1592.664916992,215.234420776,-176.315414429,-1629.425781250,212.278503418,-172.774536133,-1557.605468750,199.860275269,-210.624755859,-1595.337890625,191.134719849,-202.329284668,-1627.100219727,184.457916260,-197.621826172,-1558.455078125,154.054214478,-188.328994751,-1599.836547852,155.783798218,-168.747848511,-1594.878906250,166.082641602,-179.410995483,-1597.192993164,154.254226685,-166.920120239,-1600.495361328,154.098419189,-169.101119995,-1590.452636719,
