Number of frames: 2832
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,37.708988190,-30.417976379,86.480827332,24.709077835,-45.041618347,80.565559387,42.131614685,-49.611888885,89.684074402,134.041244507,-113.592987061,-1462.683471680,122.535446167,-97.586463928,-1460.207519531,142.306030273,-95.369110107,-1461.465698242,,,,,,,,,,142.659423828,-99.408576965,-1528.421997070,141.526458740,-75.825500488,-1552.413818359,208.707275391,-78.455825806,-1504.367187500,186.490600586,-53.185272217,-1481.968383789,164.039932251,-31.214864731,-1491.517089844,155.505523682,-35.779281616,-1493.202880859,166.776657104,-67.590187073,-1482.128906250,196.655609131,-94.005851746,-1512.998046875,142.084732056,-81.132102966,-1526.164062500,143.623916626,-60.999675751,-1528.683227539,153.986358643,-71.330589294,-1527.811157227,142.477447510,-61.293144226,-1533.259155273,142.039779663,-60.423610687,-1523.441894531,
2,37.696941376,-30.390123367,86.513519287,24.698289871,-45.017860413,80.608917236,42.120223999,-49.581344604,89.728439331,134.039489746,-113.592880249,-1462.682250977,122.533363342,-97.587150574,-1460.203979492,142.302841187,-95.368827820,-1461.467895508,,,,,,,,,,142.637847900,-99.411895752,-1528.424072266,141.496414185,-75.830291748,-1552.416870117,208.691070557,-78.453125000,-1504.389160156,186.478988647,-53.182819366,-1481.985595703,164.024063110,-31.214538574,-1491.529174805,155.489501953,-35.779651642,-1493.212280273,166.766006470,-67.589126587,-1482.139648438,196.638031006,-94.004493713,-1513.015747070,142.062515259,-81.135330200,-1526.166992188,143.599563599,-61.002941132,-1528.687866211,153.962997437,-71.333076477,-1527.818115234,142.451828003,-61.296752930,-1533.263427734,142.016891479,-60.426681519,-1523.446044922,
3,37.680763245,-30.395982742,86.540954590,24.674551010,-45.025260925,80.659133911,42.098552704,-49.587001801,89.772277832,134.038024902,-113.593597412,-1462.683593750,122.531738281,-97.587928772,-1460.203857422,142.303344727,-95.368316650,-1461.467651367,,,,,,,,,,142.636856079,-99.406356812,-1528.424194336,141.495468140,-75.822631836,-1552.414916992,208.690216064,-78.449989319,-1504.387695313,186.478302002,-53.181568146,-1481.981689453,164.023452759,-31.212348938,-1491.523315430,155.488861084,-35.777275085,-1493.206787109,166.765258789,-67.587776184,-1482.137084961,196.637100220,-94.000549316,-1513.015502930,142.061614990,-81.129989624,-1526.165527344,143.598754883,-60.997383118,-1528.684570313,153.962127686,-71.327644348,-1527.815795898,142.451004028,-61.290786743,-1533.260131836,142.016082764,-60.421577454,-1523.442749023,
4,37.687633514,-30.373929977,86.566001892,24.671184540,-45.005706787,80.720275879,42.100700378,-49.558536530,89.825531006,134.039184570,-113.593200684,-1462.678222656,122.531143188,-97.585792542,-1460.201049805,142.303756714,-95.369049072,-1461.467895508,,,,,,,,,,142.629821777,-99.423179626,-1528.423217773,141.486343384,-75.845573425,-1552.420043945,208.686370850,-78.462265015,-1504.399414063,186.477539063,-53.187553406,-1481.997558594,164.022171021,-31.220230103,-1491.542236328,155.487289429,-35.785377502,-1493.223632813,166.764144897,-67.593315125,-1482.146972656,196.631912231,-94.014739990,-1513.021972656,142.055267334,-81.146217346,-1526.169189453,143.592620850,-61.014293671,-1528.693603516,153.955841064,-71.344581604,-1527.823364258,142.444351196,-61.308845520,-1533.269042969,142.010543823,-60.437107086,-1523.451782227,
5,37.697097778,-30.368429184,86.602935791,24.681442261,-45.006206512,80.764533997,42.111568451,-49.552169800,89.872291565,134.039230347,-113.591110229,-1462.679565430,122.531753540,-97.586387634,-1460.202758789,142.304031372,-95.369583130,-1461.465942383,,,,,,,,,,142.641479492,-99.415077209,-1528.421630859,141.502395630,-75.834632874,-1552.415771484,208.694274902,-78.457946777,-1504.384277344,186.482025146,-53.185565948,-1481.983032227,164.028579712,-31.216796875,-1491.529052734,155.493911743,-35.781627655,-1493.212402344,166.768447876,-67.591033936,-1482.137573242,196.641052246,-94.009231567,-1513.010620117,142.066818237,-81.138374329,-1526.165527344,143.604873657,-61.006179810,-1528.687377930,153.967803955,-71.336723328,-1527.816528320,142.457382202,-61.300174713,-1533.262939453,142.021926880,-60.429592133,-1523.445678711,
6,37.718372345,-30.352420807,86.635932922,24.710111618,-45.003303528,80.805488586,42.143077850,-49.533390045,89.920501709,134.040969849,-113.592086792,-1462.683227539,122.532714844,-97.587959290,-1460.208129883,142.304473877,-95.368820190,-1461.465332031,,,,,,,,,,142.661361694,-99.408317566,-1528.421508789,141.527435303,-75.825561523,-1552.413574219,208.705841064,-78.448936462,-1504.363159180,186.485443115,-53.180355072,-1481.965820313,164.033172607,-31.212211609,-1491.515869141,155.499298096,-35.777473450,-1493.202148438,166.772918701,-67.587188721,-1482.127319336,196.656158447,-94.000213623,-1512.994506836,142.084777832,-81.131881714,-1526.163696289,143.622131348,-60.999328613,-1528.682983398,153.985534668,-71.329223633,-1527.810302734,142.475952148,-61.292945862,-1533.258911133,142.037643433,-60.423374176,-1523.441772461,
7,37.740608215,-30.308994293,86.690444946,24.738945007,-44.969295502,80.875000000,42.172740936,-49.483394623,90.000999451,134.043319702,-113.592041016,-1462.681640625,122.534912109,-97.587692261,-1460.208496094,142.306625366,-95.368934631,-1461.466918945,,,,,,,,,,142.660720825,-99.418479919,-1528.422485352,141.525680542,-75.839401245,-1552.418090820,208.706161499,-78.455200195,-1504.370117188,186.486648560,-53.183254242,-1481.975708008,164.033889771,-31.216648102,-1491.528320313,155.499969482,-35.782196045,-1493.213378906,166.774169922,-67.590179443,-1482.134155273,196.656158447,-94.007835388,-1512.998657227,142.084152222,-81.141700745,-1526.167480469,143.621337891,-61.009529114,-1528.689941406,153.984817505,-71.339256287,-1527.816040039,142.474975586,-61.303848267,-1533.265747070,142.037078857,-60.432773590,-1523.448608398,
8,37.758728027,-30.267137527,86.744041443,24.771070480,-44.942314148,80.927772522,42.202312469,-49.438934326,90.067459106,134.043090820,-113.590011597,-1462.682617188,122.534698486,-97.585990906,-1460.209228516,142.307083130,-95.367622375,-1461.466430664,,,,,,,,,,142.664611816,-99.413154602,-1528.422119141,141.531539917,-75.832649231,-1552.416381836,208.709213257,-78.452926636,-1504.364868164,186.489059448,-53.181724548,-1481.970214844,164.037399292,-31.213998795,-1491.522705078,155.503448486,-35.779235840,-1493.208618164,166.776214600,-67.588142395,-1482.130615234,196.659317017,-94.004760742,-1512.994873047,142.088394165,-81.136489868,-1526.166015625,143.626220703,-61.004203796,-1528.687255859,153.989395142,-71.334243774,-1527.813354492,142.480102539,-61.298229218,-1533.263183594,142.041687012,-60.427715302,-1523.446044922,
9,37.798019409,-30.197692871,86.778625488,24.814441681,-44.884452820,80.991455078,42.249847412,-49.360137939,90.131111145,134.044235229,-113.589607239,-1462.676635742,122.535156250,-97.584815979,-1460.206298828,142.309539795,-95.367584229,-1461.468139648,,,,,,,,,,142.653457642,-99.434974670,-1528.422485352,141.516403198,-75.862388611,-1552.424438477,208.703018188,-78.468246460,-1504.384521484,186.487640381,-53.189151764,-1481.994140625,164.034667969,-31.224092484,-1491.549682617,155.500305176,-35.789699554,-1493.232543945,166.774444580,-67.595191956,-1482.146118164,196.651168823,-94.022666931,-1513.007202148,142.078048706,-81.157554626,-1526.172363281,143.615859985,-61.026142120,-1528.700561523,153.978973389,-71.356124878,-1527.825195313,142.468872070,-61.321655273,-1533.276245117,142.032318115,-60.447883606,-1523.459228516,
10,37.780624390,-30.149789810,86.841918945,24.814224243,-44.846946716,81.046203613,42.245326996,-49.307113647,90.204696655,134.043518066,-113.591087341,-1462.681640625,122.534484863,-97.584625244,-1460.203491211,142.309844971,-95.366867065,-1461.471069336,,,,,,,,,,142.632080078,-99.418823242,-1528.426513672,141.487579346,-75.840354919,-1552.422363281,208.689270020,-78.458229065,-1504.404296875,186.481018066,-53.184524536,-1482.000610352,164.025131226,-31.217042923,-1491.543823242,155.490219116,-35.782203674,-1493.225097656,166.767715454,-67.590446472,-1482.150024414,196.634643555,-94.010490417,-1513.026977539,142.057449341,-81.141952515,-1526.171875000,143.594543457,-61.009925842,-1528.695556641,153.957885742,-71.340156555,-1527.825927734,142.446121216,-61.304317474,-1533.270874023,142.012649536,-60.432941437,-1523.453613281,
11,37.781883240,-30.157676697,86.866569519,24.820503235,-44.860515594,81.070259094,42.250717163,-49.314273834,90.231300354,134.043472290,-113.591827393,-1462.684326172,122.534240723,-97.585319519,-1460.203369141,142.309906006,-95.367485046,-1461.465576172,,,,,,,,,,142.647674561,-99.397010803,-1528.422363281,141.509277344,-75.810386658,-1552.410522461,208.699722290,-78.446022034,-1504.377563477,186.486801147,-53.179428101,-1481.970581055,164.033630371,-31.208217621,-1491.511596680,155.499008179,-35.772621155,-1493.196289063,166.773223877,-67.584869385,-1482.129394531,196.646774292,-93.995094299,-1513.008300781,142.072921753,-81.120895386,-1526.161621094,143.611038208,-60.988044739,-1528.678100586,153.973953247,-71.318801880,-1527.809692383,142.463684082,-61.280860901,-1533.253784180,142.027938843,-60.412807465,-1523.436279297,
12,37.806964874,-30.140909195,86.872749329,24.849506378,-44.850231171,81.074806213,42.283050537,-49.297283173,90.234664917,134.041305542,-113.591026306,-1462.680541992,122.533264160,-97.585372925,-1460.204589844,142.307769775,-95.367195129,-1461.464965820,,,,,,,,,,142.653213501,-99.411323547,-1528.420898438,141.517456055,-75.829940796,-1552.414184570,208.702667236,-78.455146790,-1504.373413086,186.487335205,-53.183628082,-1481.974365234,164.035232544,-31.214475632,-1491.522583008,155.500793457,-35.779235840,-1493.207275391,166.773773193,-67.589080811,-1482.132202148,196.650634766,-94.006095886,-1513.002075195,142.078231812,-81.134704590,-1526.164062500,143.616653442,-61.002410889,-1528.684936523,153.979461670,-71.332992554,-1527.812988281,142.469787598,-61.296226501,-1533.260620117,142.032974243,-60.426025391,-1523.443359375,
