Number of frames: 5166
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1, 0.748829007, 0.651647091, 0.120876662, 0.651150584,-0.757360578, 0.049069636, 0.123523310, 0.041964147,-0.991454005,15.146371841,32.571910858,84.450675964, 0.315174490,-0.603243232, 0.797386229, 0.016516903, 0.797101557, 0.603469253,-0.021308942,-0.026958900, 0.000311174,-0.999636471,134.805633545,-238.689971924,-1597.772705078, 0.141325623,-0.156229138, 0.986382902, 0.051392779,-0.986176670,-0.158681944, 0.047703721, 0.055209242,-0.043229647, 0.997538567,-116.351844788,297.307128906,-141.870254517, 0.119846091,
2, 0.749429643, 0.650819302, 0.121611737, 0.650396228,-0.758034945, 0.048659485, 0.123854481, 0.042628955,-0.991384268,15.134459496,32.594459534,84.442260742, 0.314263105,-0.603280425, 0.797363639, 0.016244870, 0.797076464, 0.603499115,-0.021398680,-0.026866294, 0.000038999,-0.999639034,134.804626465,-238.689285278,-1597.772338867, 0.141074911,-0.156235561, 0.986377656, 0.051473379,-0.986148775,-0.158713222, 0.048173930, 0.055687197,-0.043233927, 0.997511744,-116.352912903,297.264862061,-141.958267212, 0.121040456,
3, 0.749826491, 0.650326014, 0.121804573, 0.649918973,-0.758451045, 0.048552725, 0.123957895, 0.042756978,-0.991365850,15.146434784,32.577365875,84.444023132, 0.312867910,-0.603302479, 0.797341466, 0.016513018, 0.797058642, 0.603528380,-0.021238912,-0.026900738, 0.000348354,-0.999638021,134.803527832,-238.688308716,-1597.771362305, 0.140443072,-0.156228766, 0.986371040, 0.051620156,-0.986167490,-0.158699811, 0.047833730, 0.055373918,-0.043433115, 0.997520566,-116.367485046,297.304626465,-141.860137939, 0.120600834,
4, 0.750031888, 0.650204539, 0.121186569, 0.649806857,-0.758566320, 0.048250876, 0.123300992, 0.042558167,-0.991456330,15.132552147,32.587524414,84.454093933, 0.312934935,-0.603243232, 0.797390997, 0.016285004, 0.797109008, 0.603462994,-0.021203816,-0.026735129, 0.000189864,-0.999642551,134.801757813,-238.687362671,-1597.771728516, 0.140792683,-0.156364694, 0.986359060, 0.051437724,-0.986143887,-0.158828169, 0.047893081, 0.055409536,-0.043236215, 0.997527122,-116.321434021,297.289184570,-141.930541992, 0.119500667,
5, 0.750222564, 0.650143862, 0.120328873, 0.649607778,-0.758684695, 0.049063370, 0.123189926, 0.041358128,-0.991520941,15.129696846,32.564651489,84.459854126, 0.313017070,-0.603309333, 0.797335804, 0.016537273, 0.797062099, 0.603535652,-0.020899465,-0.026644725, 0.000572391,-0.999644816,134.801345825,-238.688247681,-1597.774902344, 0.141128823,-0.156307608, 0.986378312, 0.051242329,-0.986161590,-0.158754990, 0.047771368, 0.055255614,-0.043066189, 0.997543037,-116.331733704,297.334747314,-141.829025269, 0.119624779,
6, 0.750985920, 0.649459541, 0.119258165, 0.648710012,-0.759367406, 0.050363850, 0.123270035, 0.039541423,-0.991585135,15.167253494,32.578716278,84.469131470, 0.313823968,-0.603273690, 0.797359645, 0.016686736, 0.797090471, 0.603503942,-0.020730359,-0.026600061, 0.000794757,-0.999645829,134.801269531,-238.689361572,-1597.776000977, 0.140135884,-0.156181797, 0.986400306, 0.051202785,-0.986195862,-0.158616394, 0.047525115, 0.055000387,-0.043073416, 0.997556865,-116.311309814,297.372467041,-141.768936157, 0.119644985,
7, 0.751226902, 0.649452806, 0.117767394, 0.648469031,-0.759478092, 0.051777914, 0.123069063, 0.037471548,-0.991690397,15.204098701,32.631179810,84.471862793, 0.313123882,-0.603287041, 0.797353745, 0.016486244, 0.797069788, 0.603512168,-0.021280238,-0.026917526, 0.000302594,-0.999637604,134.803787231,-238.688781738,-1597.775390625, 0.139894620,-0.156142801, 0.986374497, 0.051815286,-0.986168802,-0.158633173, 0.048027448, 0.055592671,-0.043599479, 0.997501194,-116.363731384,297.298461914,-141.880462646, 0.119818285,
8, 0.750894427, 0.649866998, 0.117602795, 0.648518682,-0.759232044, 0.054683052, 0.124824531, 0.035206404,-0.991554022,15.198058128,32.634002686,84.498069763, 0.313365012,-0.603234529, 0.797394872, 0.016419057, 0.797110200, 0.603457868,-0.021307014,-0.026898311, 0.000234670,-0.999638200,134.805160522,-238.688705444,-1597.775634766, 0.139793918,-0.156254992, 0.986371458, 0.051533055,-0.986155808,-0.158727631, 0.047981322, 0.055507127,-0.043322302, 0.997517943,-116.342102051,297.297515869,-141.902359009, 0.120287307,
9, 0.750102162, 0.650780380, 0.117608257, 0.649102986,-0.758534849, 0.057360392, 0.126538977, 0.033313718,-0.991402090,15.161079407,32.633502960,84.498748779, 0.312913388,-0.603204846, 0.797421575, 0.016209465, 0.797148705, 0.603422523,-0.020861832,-0.026416831, 0.000337395,-0.999650955,134.805389404,-238.689270020,-1597.773315430, 0.139972597,-0.156360701, 0.986382544, 0.050997049,-0.986152053,-0.158796936, 0.047828108, 0.055274989,-0.042812411, 0.997552872,-116.260002136,297.318725586,-141.924285889, 0.120689765,
10, 0.749112964, 0.651984274, 0.117244661, 0.649969578,-0.757587910, 0.060001295, 0.127943039, 0.031257708,-0.991288841,15.178142548,32.638484955,84.468544006, 0.312755942,-0.603254020, 0.797381103, 0.016367529, 0.797104001, 0.603475928,-0.021023933,-0.026641497, 0.000363849,-0.999644995,134.805465698,-238.687698364,-1597.773315430, 0.139806852,-0.156264856, 0.986373603, 0.051462635,-0.986165583,-0.158725202, 0.047788400, 0.055305634,-0.043283034, 0.997530878,-116.312835693,297.314636230,-141.890441895, 0.120369941,
