Number of frames: 3828
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,37.652450562,-22.813673019,82.326309204,28.872903824,-38.242130280,72.010749817,45.675994873,-41.133281708,82.746879578,137.368347168,-221.355224609,-1475.692260742,124.529808044,-206.154891968,-1476.441406250,144.145217896,-202.504608154,-1475.808105469,,,,,,,,,,155.734649658,-217.258941650,-1537.469482422,156.294372559,-205.263320923,-1560.544311523,217.782211304,-189.824645996,-1519.984375000,192.121673584,-162.593261719,-1497.815795898,164.500717163,-138.374496460,-1515.414916992,159.034332275,-144.975357056,-1514.407226563,170.051269531,-174.266860962,-1496.882690430,202.632949829,-198.758438110,-1515.007690430,154.907226563,-207.037170410,-1541.663208008,154.760208130,-186.186920166,-1543.115234375,165.922149658,-195.770309448,-1542.006347656,154.142456055,-186.562698364,-1548.619140625,153.675308228,-185.528686523,-1537.297851563,
2,37.654544830,-22.755453110,82.351478577,28.895835876,-38.195045471,72.032531738,45.695537567,-41.069549561,82.776535034,137.371307373,-221.356994629,-1475.692626953,124.529823303,-206.153732300,-1476.435913086,144.146118164,-202.503524780,-1475.807006836,,,,,,,,,,155.720382690,-217.246948242,-1537.473999023,156.273513794,-205.247253418,-1560.546752930,217.771057129,-189.812515259,-1520.000122070,192.114868164,-162.586364746,-1497.820068359,164.488113403,-138.365921021,-1515.407836914,159.022323608,-144.967254639,-1514.399902344,170.045303345,-174.261260986,-1496.883422852,202.623550415,-198.747985840,-1515.020996094,154.891342163,-207.024475098,-1541.665649414,154.742874146,-186.173980713,-1543.114013672,165.905593872,-195.757003784,-1542.009765625,154.123718262,-186.548828125,-1548.617797852,153.659454346,-185.516830444,-1537.296264648,
3,37.672645569,-22.669872284,82.370941162,28.931737900,-38.118453979,72.043106079,45.732574463,-40.973060608,82.790740967,137.370574951,-221.355407715,-1475.692749023,124.528884888,-206.154815674,-1476.431396484,144.145828247,-202.504211426,-1475.810791016,,,,,,,,,,155.694305420,-217.249801636,-1537.481933594,156.237716675,-205.251235962,-1560.555541992,217.751892090,-189.813812256,-1520.035156250,192.104614258,-162.586853027,-1497.845825195,164.470275879,-138.367584229,-1515.423217773,159.004989624,-144.968933105,-1514.412719727,170.035568237,-174.261962891,-1496.899414063,202.606567383,-198.749191284,-1515.049316406,154.863403320,-207.027542114,-1541.673828125,154.714096069,-186.177124023,-1543.123046875,165.877380371,-195.759948730,-1542.022949219,154.092651367,-186.552230835,-1548.626586914,153.633087158,-185.519683838,-1537.304931641,
4,37.730129242,-22.596479416,82.361167908,29.009296417,-38.052959442,72.033393860,45.815986633,-40.890403748,82.779556274,137.370864868,-221.355270386,-1475.691284180,124.528945923,-206.154190063,-1476.434082031,144.146148682,-202.505996704,-1475.813354492,,,,,,,,,,155.697021484,-217.265472412,-1537.480590820,156.242233276,-205.272247314,-1560.556884766,217.755371094,-189.829055786,-1520.037109375,192.108596802,-162.595504761,-1497.855224609,164.476516724,-138.378692627,-1515.439575195,159.010787964,-144.979476929,-1514.427856445,170.038848877,-174.269119263,-1496.907226563,202.609283447,-198.762420654,-1515.049926758,154.866912842,-207.044143677,-1541.674804688,154.718887329,-186.194030762,-1543.128906250,165.881561279,-195.777267456,-1542.026000977,154.097686768,-186.570388794,-1548.632324219,153.637619019,-185.535202026,-1537.310913086,
5,37.758678436,-22.553010941,82.369651794,29.072734833,-38.013393402,72.013008118,45.876399994,-40.835147858,82.771362305,137.373611450,-221.356704712,-1475.694458008,124.532249451,-206.154708862,-1476.434326172,144.148498535,-202.506454468,-1475.808959961,,,,,,,,,,155.710632324,-217.245239258,-1537.479125977,156.259780884,-205.244155884,-1560.551269531,217.765747070,-189.814346313,-1520.015502930,192.114929199,-162.588500977,-1497.828857422,164.485748291,-138.365890503,-1515.409790039,159.019897461,-144.967071533,-1514.401245117,170.045074463,-174.262588501,-1496.888671875,202.618850708,-198.749496460,-1515.034057617,154.881179810,-207.022476196,-1541.670043945,154.733276367,-186.171890259,-1543.117065430,165.895828247,-195.755416870,-1542.015502930,154.113037109,-186.546371460,-1548.620727539,153.651000977,-185.515029907,-1537.299072266,
6,37.768840790,-22.507619858,82.397033691,29.111825943,-37.970359802,72.031387329,45.903041840,-40.778728485,82.795791626,137.370986938,-221.358276367,-1475.698730469,124.533622742,-206.155029297,-1476.433105469,144.149185181,-202.505508423,-1475.808715820,,,,,,,,,,155.703979492,-217.230255127,-1537.484008789,156.251831055,-205.222915649,-1560.552978516,217.762847900,-189.808837891,-1520.018798828,192.116210938,-162.587127686,-1497.822265625,164.487182617,-138.357620239,-1515.393920898,159.020919800,-144.958648682,-1514.386718750,170.045578003,-174.259796143,-1496.883178711,202.615753174,-198.744201660,-1515.038330078,154.874908447,-207.006286621,-1541.671997070,154.728439331,-186.155288696,-1543.113281250,165.890365601,-195.739959717,-1542.015502930,154.107635498,-186.528213501,-1548.617065430,153.646759033,-185.499954224,-1537.295043945,
7,37.792118073,-22.485031128,82.436729431,29.144189835,-37.950942993,72.063148499,45.932697296,-40.753128052,82.834228516,137.373016357,-221.356933594,-1475.697387695,124.532081604,-206.155502319,-1476.436157227,144.148864746,-202.505416870,-1475.810546875,,,,,,,,,,155.710632324,-217.240463257,-1537.481811523,156.259521484,-205.237762451,-1560.553100586,217.765151978,-189.809402466,-1520.016235352,192.113723755,-162.585693359,-1497.827758789,164.483993530,-138.362472534,-1515.406982422,159.018295288,-144.963836670,-1514.398925781,170.044143677,-174.260330200,-1496.888305664,202.618453979,-198.745239258,-1515.035400391,154.880966187,-207.017425537,-1541.671997070,154.732589722,-186.166732788,-1543.117553711,165.895355225,-195.750091553,-1542.016723633,154.112350464,-186.540847778,-1548.621215820,153.650299072,-185.510330200,-1537.299560547,
8,37.811882019,-22.483057022,82.486923218,29.158771515,-37.949375153,72.113533020,45.945976257,-40.753543854,82.885932922,137.373184204,-221.355697632,-1475.688842773,124.532966614,-206.153671265,-1476.437133789,144.151245117,-202.505554199,-1475.812011719,,,,,,,,,,155.715744019,-217.276031494,-1537.474121094,156.267669678,-205.286300659,-1560.552124023,217.771789551,-189.841674805,-1520.019165039,192.121490479,-162.602874756,-1497.847900391,164.495651245,-138.386611938,-1515.442749023,159.029174805,-144.986846924,-1514.431396484,170.050613403,-174.274673462,-1496.903564453,202.623779297,-198.773147583,-1515.034545898,154.887466431,-207.055252075,-1541.670043945,154.741378784,-186.205368042,-1543.127319336,165.903060913,-195.789260864,-1542.020263672,154.121520996,-186.582489014,-1548.630859375,153.658706665,-185.545578003,-1537.309692383,
9,37.766654968,-22.514190674,82.534133911,29.110080719,-37.976921082,72.158477783,45.892478943,-40.788902283,82.946166992,137.371948242,-221.355560303,-1475.692504883,124.532638550,-206.152648926,-1476.435668945,144.149749756,-202.504364014,-1475.812500000,,,,,,,,,,155.706237793,-217.261810303,-1537.479370117,156.254989624,-205.267013550,-1560.554809570,217.764739990,-189.831405640,-1520.026977539,192.117553711,-162.597412109,-1497.846191406,164.489334106,-138.377227783,-1515.431884766,159.022994995,-144.977676392,-1514.421264648,170.046783447,-174.269378662,-1496.901367188,202.617401123,-198.763946533,-1515.042114258,154.877395630,-207.040115356,-1541.672973633,154.731155396,-186.189895630,-1543.125610352,165.892959595,-195.774063110,-1542.022216797,154.110549927,-186.565811157,-1548.629150391,153.649276733,-185.531387329,-1537.307739258,
10,37.741783142,-22.536338806,82.560058594,29.079135895,-37.998100281,72.197189331,45.856880188,-40.812820435,82.990707397,137.371749878,-221.356765747,-1475.697143555,124.531585693,-206.153366089,-1476.436401367,144.149871826,-202.504135132,-1475.812866211,,,,,,,,,,155.704391479,-217.247344971,-1537.483520508,156.252243042,-205.247100830,-1560.556152344,217.762695313,-189.819564819,-1520.026367188,192.115447998,-162.591430664,-1497.838378906,164.486160278,-138.367782593,-1515.417724609,159.020004272,-144.968582153,-1514.408447266,170.044982910,-174.264160156,-1496.895874023,202.615707397,-198.753646851,-1515.043212891,154.875198364,-207.024688721,-1541.674682617,154.728393555,-186.174133301,-1543.122436523,165.890472412,-195.758285522,-1542.021606445,154.107650757,-186.548767090,-1548.626098633,153.646667480,-185.517028809,-1537.304443359,
