Number of frames: 3831
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,67.445213318,-8.904814720,82.947975159,52.226428986,-21.883695602,78.761650085,70.135238647,-28.561134338,85.230102539,172.309371948,-132.974456787,-1532.704345703,158.644531250,-118.547103882,-1533.693115234,177.980300903,-113.736885071,-1532.539306641,64.733306885,123.068603516,46.185413361,82.561965942,116.751983643,52.464839935,80.686279297,135.400161743,45.058074951,184.482681274,-124.662117004,-1588.976928711,185.866348267,-109.626960754,-1616.392211914,255.680328369,-101.287338257,-1595.166992188,248.948669434,-93.445045471,-1624.762207031,246.340576172,-93.083541870,-1564.931030273,227.717651367,-107.848579407,-1562.922729492,232.736648560,-124.899581909,-1598.498657227,225.692794800,-120.454040527,-1622.815307617,184.664184570,-114.373817444,-1596.481323242,185.714141846,-94.243560791,-1597.952880859,196.478408813,-104.556770325,-1596.337646484,184.715744019,-95.411140442,-1602.191894531,184.247085571,-93.412178040,-1592.506347656,
2,67.464828491,-8.900265694,82.933807373,52.242183685,-21.877582550,78.758941650,70.156021118,-28.555553436,85.228607178,172.310272217,-132.974273682,-1532.703735352,158.644729614,-118.548034668,-1533.697143555,177.984710693,-113.737121582,-1532.541870117,64.748939514,123.068389893,46.161525726,82.580055237,116.752204895,52.442081451,80.702781677,135.399765015,45.028869629,184.490829468,-124.674774170,-1588.976562500,185.878356934,-109.645362854,-1616.394775391,255.690307617,-101.304725647,-1595.163208008,248.962417603,-93.468246460,-1624.760864258,246.347473145,-93.094215393,-1564.930053711,227.723617554,-107.857925415,-1562.920898438,232.745864868,-124.916549683,-1598.492675781,225.705017090,-120.475715637,-1622.811157227,184.673675537,-114.388038635,-1596.483032227,185.724777222,-94.258132935,-1597.958740234,196.488372803,-104.571533203,-1596.340087891,184.726821899,-95.426544189,-1602.197631836,184.257141113,-93.425559998,-1592.512573242,
3,67.448249817,-8.924857140,82.976310730,52.224269867,-21.896671295,78.803421021,70.134941101,-28.580028534,85.279335022,172.308609009,-132.974975586,-1532.703491211,158.645431519,-118.547828674,-1533.697265625,177.981124878,-113.738052368,-1532.539062500,64.751228333,123.060371399,46.174137115,82.581985474,116.743171692,52.455894470,80.705535889,135.393264771,45.054817200,184.497116089,-124.669837952,-1588.973754883,185.888580322,-109.637741089,-1616.390380859,255.697616577,-101.299667358,-1595.148193359,248.973937988,-93.460227966,-1624.745971680,246.350616455,-93.092071533,-1564.915527344,227.726379395,-107.855857849,-1562.910522461,232.753494263,-124.911010742,-1598.483154297,225.716079712,-120.467727661,-1622.802246094,184.681091309,-114.382369995,-1596.479248047,185.732528687,-94.252326965,-1597.952758789,196.495819092,-104.565956116,-1596.333740234,184.735153198,-95.420310974,-1602.191894531,184.264144897,-93.420280457,-1592.506713867,
4,67.435119629,-8.930008888,83.013732910,52.208530426,-21.902839661,78.844161987,70.114685059,-28.585605621,85.329528809,172.310241699,-132.974929810,-1532.703369141,158.644226074,-118.546783447,-1533.697998047,177.979919434,-113.736854553,-1532.539550781,64.745002747,123.065483093,46.175758362,82.575424194,116.747222900,52.451156616,80.696807861,135.399124146,45.051498413,184.498138428,-124.669761658,-1588.973754883,185.888992310,-109.638450623,-1616.390869141,255.696990967,-101.294418335,-1595.147583008,248.973266602,-93.456443787,-1624.745849609,246.348800659,-93.086547852,-1564.915405273,227.725631714,-107.851676941,-1562.910156250,232.754714966,-124.907600403,-1598.482299805,225.717422485,-120.465637207,-1622.801513672,184.681472778,-114.382522583,-1596.479614258,185.731430054,-94.252449036,-1597.953735352,196.495468140,-104.565216064,-1596.334106445,184.734222412,-95.420646667,-1602.192871094,184.262878418,-93.420333862,-1592.507690430,
5,67.410903931,-8.936162949,83.059631348,52.182456970,-21.906345367,78.882499695,70.082252502,-28.591272354,85.381996155,172.308029175,-132.974319458,-1532.706298828,158.641876221,-118.548492432,-1533.701293945,177.978439331,-113.737426758,-1532.544067383,64.739791870,123.072822571,46.166500092,82.572471619,116.753479004,52.442768097,80.692413330,135.405303955,45.034675598,184.493515015,-124.674057007,-1588.977783203,185.882720947,-109.644706726,-1616.395996094,255.691543579,-101.297500610,-1595.156738281,248.966217041,-93.461837769,-1624.755249023,246.344589233,-93.087646484,-1564.924682617,227.721862793,-107.853057861,-1562.917480469,232.749649048,-124.911460876,-1598.488525391,225.711090088,-120.471427917,-1622.807861328,184.676254272,-114.387359619,-1596.484375000,185.725677490,-94.257369995,-1597.960083008,196.490036011,-104.569763184,-1596.340209961,184.728286743,-95.425895691,-1602.198974609,184.257354736,-93.424888611,-1592.514038086,
6,67.381881714,-8.965919495,83.100509644,52.146423340,-21.930322647,78.933227539,70.040992737,-28.621553421,85.434837341,172.308059692,-132.974960327,-1532.708618164,158.640319824,-118.548194885,-1533.703002930,177.977401733,-113.736968994,-1532.543823242,64.734031677,123.068672180,46.181266785,82.565994263,116.751480103,52.460041046,80.688293457,135.402221680,45.055217743,184.496673584,-124.667098999,-1588.978515625,185.887252808,-109.634567261,-1616.394775391,255.694305420,-101.287338257,-1595.149780273,248.970779419,-93.448532104,-1624.747802734,246.344955444,-93.081260681,-1564.917358398,227.722610474,-107.847564697,-1562.913208008,232.753463745,-124.901718140,-1598.485839844,225.716461182,-120.459159851,-1622.805175781,184.679580688,-114.379539490,-1596.483886719,185.728393555,-94.249343872,-1597.957153320,196.492996216,-104.561546326,-1596.337646484,184.731338501,-95.417419434,-1602.196289063,184.259658813,-93.417533875,-1592.511108398,
7,67.333854675,-8.972893715,83.175994873,52.098373413,-21.934108734,78.992698669,69.984100342,-28.628591537,85.521568298,172.309371948,-132.974716187,-1532.707763672,158.641891479,-118.549331665,-1533.696166992,177.976684570,-113.737838745,-1532.541259766,64.715377808,123.073501587,46.189998627,82.545814514,116.759994507,52.480117798,80.669021606,135.408309937,45.076850891,184.483276367,-124.657508850,-1588.979370117,185.866012573,-109.620330811,-1616.393554688,255.677993774,-101.272621155,-1595.164916992,248.946456909,-93.429275513,-1624.759887695,246.335891724,-93.072120667,-1564.928833008,227.714904785,-107.839820862,-1562.922363281,232.737670898,-124.887771606,-1598.499145508,225.694198608,-120.441566467,-1622.815795898,184.663681030,-114.368682861,-1596.483032227,185.710952759,-94.238182068,-1597.953247070,196.476562500,-104.550033569,-1596.338256836,184.712890625,-95.405616760,-1602.192382813,184.243576050,-93.407363892,-1592.506713867,
8,67.343002319,-8.986555099,83.209953308,52.108100891,-21.940988541,79.012100220,69.984077454,-28.643041611,85.561470032,172.305358887,-132.976501465,-1532.706298828,158.641860962,-118.551200867,-1533.701782227,177.977630615,-113.738105774,-1532.544311523,64.742301941,123.071601868,46.153587341,82.574630737,116.755516052,52.442024231,80.696609497,135.403839111,45.036556244,184.493560791,-124.677436829,-1588.977661133,185.883575439,-109.648757935,-1616.396118164,255.692031860,-101.301979065,-1595.155517578,248.967483521,-93.466934204,-1624.754394531,246.344528198,-93.091278076,-1564.923950195,227.721557617,-107.856399536,-1562.916748047,232.749908447,-124.915710449,-1598.487304688,225.711944580,-120.476165771,-1622.806884766,184.676620483,-114.390922546,-1596.484497070,185.726333618,-94.260978699,-1597.960571289,196.490509033,-104.573486328,-1596.340209961,184.729019165,-95.429595947,-1602.199584961,184.257904053,-93.428352356,-1592.514648438,
9,67.303871155,-8.995139122,83.273597717,52.074172974,-21.945261002,79.050598145,69.939376831,-28.653808594,85.629020691,172.306106567,-132.976455688,-1532.707641602,158.639602661,-118.549308777,-1533.699829102,177.977142334,-113.738906860,-1532.544921875,64.737792969,123.073135376,46.156429291,82.568992615,116.755493164,52.445716858,80.691589355,135.406204224,45.039653778,184.483825684,-124.672264099,-1588.980346680,185.869689941,-109.641128540,-1616.397705078,255.681716919,-101.297508240,-1595.167602539,248.952529907,-93.459671021,-1624.764526367,246.339218140,-93.089370728,-1564.933715820,227.716308594,-107.854339600,-1562.924926758,232.738616943,-124.910530090,-1598.497802734,225.696838379,-120.468666077,-1622.815795898,184.665847778,-114.385070801,-1596.486206055,185.715682983,-94.255020142,-1597.960693359,196.479934692,-104.567855835,-1596.343017578,184.717666626,-95.423233032,-1602.199584961,184.248153687,-93.422851563,-1592.514404297,
10,67.275413513,-9.019353867,83.323287964,52.045581818,-21.965957642,79.077896118,69.902160645,-28.679403305,85.674301147,172.303634644,-132.975387573,-1532.710327148,158.638092041,-118.549079895,-1533.699829102,177.975372314,-113.738792419,-1532.543334961,64.731857300,123.065483093,46.191062927,82.563087463,116.746131897,52.477416992,80.687309265,135.397979736,45.074085236,184.483596802,-124.660156250,-1588.980834961,185.870483398,-109.623252869,-1616.395019531,255.681961060,-101.284942627,-1595.161010742,248.953781128,-93.440773010,-1624.756469727,246.338638306,-93.083076477,-1564.925659180,227.715484619,-107.848251343,-1562.920532227,232.738693237,-124.896987915,-1598.496826172,225.697692871,-120.449905396,-1622.814208984,184.665969849,-114.371376038,-1596.484619141,185.716094971,-94.241027832,-1597.954833984,196.480178833,-104.554336548,-1596.338989258,184.718200684,-95.408332825,-1602.193969727,184.248397827,-93.409996033,-1592.508300781,
