Number of frames: 4329
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumMarker R00,HumMarker R01,HumMarker R02,HumMarker R10,HumMarker R11,HumMarker R12,HumMarker R20,HumMarker R21,HumMarker R22,HumMarker x,HumMarker y,HumMarker z,HumMarker Error,StemMarker R00,StemMarker R01,StemMarker R02,StemMarker R10,StemMarker R11,StemMarker R12,StemMarker R20,StemMarker R21,StemMarker R22,StemMarker x,StemMarker y,StemMarker z,StemMarker Error
1, 0.713748693, 0.642165661, 0.279617548, 0.683995306,-0.724976778,-0.080987602, 0.150708780, 0.249061897,-0.956689596,-12.392332077,14.369793892,68.156600952, 0.310655534,-0.688152134, 0.720137775,-0.088589959, 0.717546582, 0.693557560, 0.064068332, 0.107580267,-0.019478669,-0.994005620,94.618896484,-180.473953247,-1510.426147461, 0.144818902,-0.056658302, 0.998386502, 0.003768913,-0.992592156,-0.056735035, 0.107433528, 0.107474022, 0.002346008, 0.994205117,-125.874092102,287.297271729,-155.512771606, 0.114972189,
2, 0.713371217, 0.642783701, 0.279160619, 0.684314728,-0.724807441,-0.079796590, 0.151045755, 0.247958317,-0.956923127,-12.399620056,14.349873543,68.175674438, 0.310719907,-0.688213229, 0.720100105,-0.088421911, 0.717489719, 0.693603158, 0.064212389, 0.107569054,-0.019249996,-0.994011223,94.622718811,-180.471801758,-1510.422973633, 0.144703224,-0.056614928, 0.998388886, 0.003793877,-0.992645442,-0.056695692, 0.106960595, 0.107003361, 0.002289591, 0.994256020,-125.901123047,287.320404053,-155.443023682, 0.116442844,
3, 0.713544309, 0.642884612, 0.278484941, 0.684290349,-0.724794805,-0.080119684, 0.150336727, 0.247733518,-0.957092941,-12.383031845,14.354548454,68.175460815, 0.311469346,-0.688255906, 0.720069408,-0.088339277, 0.717466116, 0.693635166, 0.064129896, 0.107453205,-0.019242654,-0.994023860,94.622657776,-180.470886230,-1510.423950195, 0.144879445,-0.056662016, 0.998385727, 0.003919028,-0.992609322,-0.056755234, 0.107263766, 0.107313037, 0.002187717, 0.994222820,-125.934722900,287.316925049,-155.426101685, 0.116210058,
4, 0.713795483, 0.642624319, 0.278442204, 0.684146821,-0.724836767,-0.080961801, 0.149797127, 0.248285532,-0.957034588,-12.387974739,14.350035667,68.199745178, 0.311075240,-0.688252032, 0.720078111,-0.088299163, 0.717470586, 0.693627596, 0.064162351, 0.107448637,-0.019192185,-0.994025409,94.624679565,-180.471755981,-1510.425292969, 0.144412830,-0.056706320, 0.998381853, 0.004249528,-0.992599428,-0.056834657, 0.107313693, 0.107381567, 0.001867286, 0.994216084,-125.931472778,287.324096680,-155.410995483, 0.115638398,
5, 0.714038610, 0.641853869, 0.279593498, 0.683821678,-0.725033879,-0.081937827, 0.150122643, 0.249698848,-0.956615746,-12.410061836,14.330702782,68.227302551, 0.310650796,-0.688215017, 0.720116794,-0.088271812, 0.717477918, 0.693593264, 0.064450093, 0.107636333,-0.018977555,-0.994009197,94.626235962,-180.471862793,-1510.426025391, 0.144345880,-0.056695256, 0.998383164, 0.004070672,-0.992638469,-0.056805160, 0.106967434, 0.107025735, 0.002023841, 0.994254172,-125.891059875,287.360870361,-155.376800537, 0.115257792,
6, 0.714814603, 0.640626788, 0.280423582, 0.683178544,-0.725360513,-0.084374562, 0.149355605, 0.251891553,-0.956160843,-12.419759750,14.323832512,68.239982605, 0.310961902,-0.688210785, 0.720124245,-0.088243753, 0.717469692, 0.693588734, 0.064589851, 0.107717589,-0.018860787,-0.994002640,94.624641418,-180.471237183,-1510.423828125, 0.144335896,-0.056666840, 0.998385608, 0.003874620,-0.992662668,-0.056756370, 0.106768854, 0.106816396, 0.002204062, 0.994276345,-125.882202148,287.380249023,-155.349517822, 0.115127459,
7, 0.715689719, 0.639374733, 0.281048357, 0.682518303,-0.725646138,-0.087214626, 0.148178831, 0.254239261,-0.955722451,-12.437137604,14.331018448,68.251426697, 0.310609937,-0.688216746, 0.720106244,-0.088344738, 0.717460155, 0.693604350, 0.064528815, 0.107743897,-0.018974015,-0.993997633,94.624946594,-180.473281860,-1510.426391602, 0.144049019,-0.056552656, 0.998392701, 0.003703925,-0.992654741,-0.056624264, 0.106912509, 0.106950410, 0.002369468, 0.994261503,-125.880577087,287.360809326,-155.386077881, 0.115361542,
8, 0.716291130, 0.638452828, 0.281611383, 0.681983113,-0.725955725,-0.088810153, 0.147736326, 0.255668163,-0.955409765,-12.471505165,14.335051537,68.305976868, 0.310302287,-0.688206196, 0.720104456,-0.088440895, 0.717454374, 0.693605304, 0.064582452, 0.107849188,-0.019006263,-0.993985593,94.622932434,-180.474731445,-1510.426025391, 0.144811913,-0.056478549, 0.998397529, 0.003546718,-0.992662609,-0.056533836, 0.106887296, 0.106916517, 0.002516145, 0.994264781,-125.863121033,287.356964111,-155.410751343, 0.115161911,
9, 0.716899633, 0.638311028, 0.280381829, 0.681710362,-0.726048231,-0.090138853, 0.146034107, 0.255759716,-0.955646932,-12.463047028,14.337769508,68.380348206, 0.310747266,-0.688260734, 0.720093966,-0.088101223, 0.717485905, 0.693614423, 0.064132974, 0.107290044,-0.019071171,-0.994044840,94.622291565,-180.474578857,-1510.427368164, 0.145513654,-0.056525581, 0.998392284, 0.004211657,-0.992627561,-0.056651209, 0.107150398, 0.107216723, 0.001876132, 0.994233906,-125.952178955,287.346130371,-155.361389160, 0.115316398,
10, 0.716766179, 0.638552964, 0.280171961, 0.681893349,-0.725880444,-0.090105467, 0.145834237, 0.255631953,-0.955711544,-12.503989220,14.369514465,68.440734863, 0.310425490,-0.688166320, 0.720125020,-0.088583499, 0.717528820, 0.693571925, 0.064112477, 0.107608028,-0.019441165,-0.994003296,94.621688843,-180.474609375,-1510.425659180, 0.144783929,-0.056648836, 0.998386502, 0.003909579,-0.992598891,-0.056740887, 0.107368112, 0.107416704, 0.002201634, 0.994211614,-125.875030518,287.301818848,-155.503784180, 0.116428785,
