Number of frames: 3950
Frequency: 100
Units: mm

Frame,Digitizing Probe R00,Digitizing Probe R01,Digitizing Probe R02,Digitizing Probe R10,Digitizing Probe R11,Digitizing Probe R12,Digitizing Probe R20,Digitizing Probe R21,Digitizing Probe R22,Digitizing Probe x,Digitizing Probe y,Digitizing Probe z,Digitizing Probe Error,HumTracker R00,HumTracker R01,HumTracker R02,HumTracker R10,HumTracker R11,HumTracker R12,HumTracker R20,HumTracker R21,HumTracker R22,HumTracker x,HumTracker y,HumTracker z,HumTracker Error,StemTracker R00,StemTracker R01,StemTracker R02,StemTracker R10,StemTracker R11,StemTracker R12,StemTracker R20,StemTracker R21,StemTracker R22,StemTracker x,StemTracker y,StemTracker z,StemTracker Error
15, 0.529452205, 0.848213971, 0.014612378, 0.779830039,-0.479841530,-0.402016521,-0.333984375, 0.224243686,-0.915515840,-11.482738495, 2.221174717,62.892551422, 0.352695525,-0.716761351, 0.695753992, 0.046685956, 0.695837379, 0.717995465,-0.017111739,-0.045425866, 0.020220803,-0.998763084,133.325454712,-93.310943604,-1460.950561523, 0.132470146,,,,,,,,,,,,,,
16, 0.529710829, 0.848056257, 0.014389038, 0.779573619,-0.480111420,-0.402191490,-0.334172636, 0.224262506,-0.915442526,-11.493361473, 2.209401608,62.920814514, 0.353458196,-0.716810584, 0.695697725, 0.046768803, 0.695796967, 0.718042135,-0.016797807,-0.045268163, 0.020500744,-0.998764515,133.323974609,-93.310508728,-1460.951416016, 0.132003009,,,,,,,,,,,,,,
17, 0.529912770, 0.847930074, 0.014388828, 0.779405296,-0.480260849,-0.402339220,-0.334245145, 0.224419415,-0.915377557,-11.505133629, 2.196080208,62.923442841, 0.353013009,-0.716805339, 0.695699513, 0.046822172, 0.695811749, 0.718033850,-0.016535250,-0.045123469, 0.020726860,-0.998766363,133.324279785,-93.310676575,-1460.950561523, 0.132353216,,,,,,,,,,,,,,
18, 0.529907346, 0.847938299, 0.014101562, 0.779164910,-0.480228961,-0.402842551,-0.334813654, 0.224456668,-0.915160656,-11.503993034, 2.199834585,62.918689728, 0.353959501,-0.716801465, 0.695709169, 0.046738029, 0.695815265, 0.718028188,-0.016634289,-0.045131851, 0.020597551,-0.998768687,133.324981689,-93.311416626,-1460.950805664, 0.131600767,,,,,,,,,,,,,,
19, 0.529562235, 0.848153174, 0.014142988, 0.779366136,-0.479896128,-0.402850002,-0.334891319, 0.224356711,-0.915156782,-11.505880356, 2.205487251,62.924182892, 0.352472097,-0.716815472, 0.695699394, 0.046668176, 0.695796072, 0.718042672,-0.016809834,-0.045204334, 0.020421984,-0.998769045,133.325546265,-93.310546875,-1460.951538086, 0.131621733,,,,,,,,,,,,,,
20, 0.529280245, 0.848323822, 0.014459385, 0.779680431,-0.479590446,-0.402605742,-0.334605485, 0.224364981,-0.915259302,-11.508231163, 2.188879728,62.917846680, 0.353789389,-0.716837347, 0.695668280, 0.046795323, 0.695773482, 0.718067586,-0.016678136,-0.045204658, 0.020603435,-0.998765230,133.327301025,-93.311210632,-1460.955688477, 0.131557092,,,,,,,,,,,,,,
21, 0.529125690, 0.848412573, 0.014901665, 0.779848695,-0.479292780,-0.402634442,-0.334457874, 0.224665269,-0.915239573,-11.521947861, 2.183774710,62.916641235, 0.354331255,-0.716826499, 0.695689082, 0.046652585, 0.695795417, 0.718048453,-0.016587894,-0.045038834, 0.020570014,-0.998773456,133.329483032,-93.311950684,-1460.956665039, 0.130763143,,,,,,,,,,,,,,
22, 0.528972149, 0.848507524, 0.014945809, 0.779812098,-0.479047865,-0.402996510,-0.334785849, 0.224828854,-0.915079415,-11.523062706, 2.192680836,62.931011200, 0.353060693,-0.716802835, 0.695717394, 0.046593819, 0.695816636, 0.718024850,-0.016720202,-0.045088056, 0.020435665,-0.998773992,133.330413818,-93.310630798,-1460.953613281, 0.131921351,,,,,,,,,,,,,,
23, 0.528016031, 0.849102020, 0.014994509, 0.780281484,-0.478099346,-0.403214425,-0.335201323, 0.224603623,-0.914982677,-11.543804169, 2.157171726,62.964176178, 0.353113979,-0.716816902, 0.695692718, 0.046746068, 0.695797741, 0.718044579,-0.016659893,-0.045155924, 0.020583715,-0.998767853,133.329635620,-93.309562683,-1460.954223633, 0.130014673,,,,,,,,,,,,,,
24, 0.528109014, 0.849037528, 0.015367678, 0.779988408,-0.477845937,-0.404080868,-0.335736424, 0.225385368,-0.914594173,-11.562995911, 2.142716885,62.977821350, 0.354885757,-0.716818273, 0.695696890, 0.046662532, 0.695805371, 0.718039811,-0.016546533,-0.045016926, 0.020607183,-0.998773694,133.329528809,-93.308883667,-1460.955322266, 0.130582303,,,,,,,,,,,,,,
25, 0.528124750, 0.849028707, 0.015314663, 0.779594600,-0.477627248,-0.405098170,-0.336625278, 0.225881606,-0.914144933,-11.550361633, 2.120137453,62.986820221, 0.352690220,-0.716803610, 0.695691288, 0.046970874, 0.695807099, 0.718038619,-0.016524658,-0.045222960, 0.020837732,-0.998759627,133.329513550,-93.309944153,-1460.955688477, 0.132158071,,,,,,,,,,,,,,
26, 0.527431786, 0.849449456, 0.015850978, 0.779823601,-0.476627350,-0.405834317,-0.337180763, 0.226410896,-0.913809180,-11.592612267, 2.101304054,63.030635834, 0.353170931,-0.716801822, 0.695722699, 0.046530932, 0.695832491, 0.718015552,-0.016455941,-0.044858702, 0.020582085,-0.998781323,133.328170776,-93.310966492,-1460.951293945, 0.131339878,,,,,,,,,,,,,,
27, 0.526800692, 0.849844933, 0.015639633, 0.779856324,-0.475933850,-0.406584710,-0.338090539, 0.226385772,-0.913479209,-11.600586891, 2.067615032,63.088119507, 0.353909254,-0.716807723, 0.695704997, 0.046703383, 0.695820391, 0.718028307,-0.016411258,-0.044951748, 0.020733450,-0.998773992,133.328033447,-93.310913086,-1460.951538086, 0.131804451,,,,,,,,,,,,,,
28, 0.526328504, 0.850124240, 0.016343120, 0.780391872,-0.475346029,-0.406244546,-0.337589711, 0.226572126,-0.913618207,-11.594189644, 2.043113232,63.111980438, 0.354032785,-0.716825843, 0.695666969, 0.046990145, 0.695796490, 0.718055546,-0.016230311,-0.045032430, 0.021061271,-0.998763502,133.325958252,-93.311820984,-1460.952148438, 0.132274270,,,,,,,,,,,,,,
29, 0.525857568, 0.850412905, 0.016484203, 0.780684054,-0.474865824,-0.406244814,-0.337648034, 0.226495862,-0.913615584,-11.609832764, 2.054358482,63.136417389, 0.354933411,-0.716830790, 0.695683718, 0.046667285, 0.695806503, 0.718045950,-0.016228093,-0.044798873, 0.020838607,-0.998778701,133.327148438,-93.312614441,-1460.947021484, 0.132443234,,,,,,,,,,,,,,
30, 0.525183737, 0.850833833, 0.016244136, 0.781202137,-0.474456936,-0.405726433,-0.337498605, 0.225770876,-0.913850248,-11.596989632, 2.046691179,63.157234192, 0.354891986,-0.716835260, 0.695661426, 0.046928667, 0.695788324, 0.718062818,-0.016258221,-0.045007952, 0.020997953,-0.998765886,133.328628540,-93.311912537,-1460.947875977, 0.132471114,,,,,,,,,,,,,,
31, 0.524686992, 0.851130843, 0.016725337, 0.781729400,-0.473939091,-0.405315727,-0.337049961, 0.225738600,-0.914023757,-11.583439827, 2.055422068,63.151153564, 0.356271833,-0.716880620, 0.695611656, 0.046974890, 0.695735753, 0.718111932,-0.016340582,-0.045099929, 0.020967864,-0.998762429,133.326583862,-93.311012268,-1460.946899414, 0.132398784,,,,,,,,,,,,,,
32, 0.524339318, 0.851335824, 0.017192986, 0.781901896,-0.473382980,-0.405632764,-0.337190837, 0.226132438,-0.913874388,-11.602364540, 2.071245193,63.150588989, 0.355584085,-0.716884494, 0.695634067, 0.046580937, 0.695746183, 0.718099892,-0.016425574,-0.044875957, 0.020633269,-0.998779476,133.327178955,-93.310455322,-1460.946655273, 0.132175311,,,,,,,,,,,,,,
33, 0.524039328, 0.851510763, 0.017668663, 0.782020688,-0.472848505,-0.406026989,-0.337381780, 0.226591378,-0.913690269,-11.599888802, 2.037773609,63.108375549, 0.353423387,-0.716906071, 0.695595920, 0.046819501, 0.695718229, 0.718129694,-0.016306130,-0.044964951, 0.020883219,-0.998770297,133.327865601,-93.311866760,-1460.948974609, 0.132749975,,,,,,,,,,,,,,
