Number of frames: 4032
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumMarker_GT x,iHumMarker_GT y,iHumMarker_GT z,iHumMarker_LT x,iHumMarker_LT y,iHumMarker_LT z,iHumMarker_P1 x,iHumMarker_P1 y,iHumMarker_P1 z,iHumMarker_P2 x,iHumMarker_P2 y,iHumMarker_P2 z,iHumMarker_P3 x,iHumMarker_P3 y,iHumMarker_P3 z,iHumMarker_P4 x,iHumMarker_P4 y,iHumMarker_P4 z,iHumMarker_P5 x,iHumMarker_P5 y,iHumMarker_P5 z,iHumMarker_P6 x,iHumMarker_P6 y,iHumMarker_P6 z,iHumMarker_SL x,iHumMarker_SL y,iHumMarker_SL z,iHumMarker_SH x,iHumMarker_SH y,iHumMarker_SH z,iHumMarker_SB x,iHumMarker_SB y,iHumMarker_SB z,iHumMarker_Surf1 x,iHumMarker_Surf1 y,iHumMarker_Surf1 z,iHumMarker_Surf2 x,iHumMarker_Surf2 y,iHumMarker_Surf2 z
1,25.760408401,-46.614772797,79.214233398, 8.328674316,-56.136802673,74.344635010,24.421033859,-66.489234924,80.737388611,150.300537109,-232.871780396,-1474.432373047,136.428298950,-218.909423828,-1471.949951172,155.541702271,-213.517974854,-1473.395507813,,,,,,,,,,153.462173462,-219.308624268,-1542.372192383,151.600448608,-198.840072632,-1520.516967773,221.945648193,-192.529541016,-1530.367065430,204.421524048,-175.461761475,-1499.605346680,165.790039063,-143.306610107,-1507.882934570,159.749633789,-152.046890259,-1506.366577148,175.947128296,-181.822586060,-1494.357177734,208.982955933,-201.979354858,-1521.270263672,150.330139160,-206.524795532,-1539.934936523,150.973754883,-187.023330688,-1540.855224609,161.943130493,-196.710388184,-1540.394287109,150.187988281,-186.537078857,-1544.163452148,149.656860352,-186.785095215,-1536.132568359,
2,25.816509247,-46.541446686,79.364982605, 8.399251938,-56.088886261,74.497932434,24.494268417,-66.415885925,80.921623230,150.298171997,-232.872512817,-1474.425659180,136.427597046,-218.910293579,-1471.948608398,155.538818359,-213.515533447,-1473.396972656,,,,,,,,,,153.456665039,-219.336334229,-1542.371215820,151.594161987,-198.858932495,-1520.524414063,221.938308716,-192.546173096,-1530.380493164,204.414123535,-175.467254639,-1499.625000000,165.779373169,-143.318984985,-1507.914062500,159.739822388,-152.059188843,-1506.393798828,175.940567017,-181.828460693,-1494.372802734,208.976898193,-201.993392944,-1521.279174805,150.323593140,-206.551788330,-1539.939208984,150.965423584,-187.050643921,-1540.867553711,161.935699463,-196.736526489,-1540.403198242,150.179458618,-186.565826416,-1544.176025391,149.648727417,-186.810577393,-1536.144897461,
3,25.809310913,-46.495498657,79.477134705, 8.391282082,-56.052043915,74.634071350,24.486751556,-66.365142822,81.082801819,150.296493530,-232.870864868,-1474.424682617,136.425125122,-218.909606934,-1471.945068359,155.536727905,-213.515686035,-1473.401733398,,,,,,,,,,153.428863525,-219.348480225,-1542.374023438,151.573898315,-198.867004395,-1520.530395508,221.914199829,-192.554153442,-1530.413818359,204.400970459,-175.469924927,-1499.654907227,165.762237549,-143.324279785,-1507.935791016,159.723495483,-152.064376831,-1506.411621094,175.929534912,-181.830932617,-1494.390991211,208.956436157,-202.000000000,-1521.305786133,150.296340942,-206.563568115,-1539.943237305,150.937286377,-187.062576294,-1540.875488281,161.907989502,-196.748077393,-1540.413330078,150.150085449,-186.578414917,-1544.183715820,149.622344971,-186.821655273,-1536.152465820,
4,25.795959473,-46.482627869,79.568550110, 8.375116348,-56.044448853,74.750877380,24.470600128,-66.349082947,81.217544556,150.298278809,-232.871017456,-1474.424438477,136.425155640,-218.908081055,-1471.942871094,155.538803101,-213.516311646,-1473.402343750,,,,,,,,,,153.421432495,-219.349319458,-1542.374267578,151.570159912,-198.867507935,-1520.530517578,221.909500122,-192.557876587,-1530.423095703,204.400939941,-175.472503662,-1499.662231445,165.762573242,-143.325256348,-1507.938476563,159.723648071,-152.065048218,-1506.413452148,175.929901123,-181.832183838,-1494.394531250,208.952468872,-202.003051758,-1521.313354492,150.289794922,-206.564239502,-1539.943237305,150.931472778,-187.063278198,-1540.875732422,161.901809692,-196.749252319,-1540.414916992,150.143875122,-186.579132080,-1544.183959961,149.617141724,-186.822250366,-1536.152587891,
5,25.793550491,-46.514999390,79.634002686, 8.370786667,-56.080810547,74.820236206,24.469461441,-66.377456665,81.292755127,150.297775269,-232.874588013,-1474.429077148,136.426651001,-218.910903931,-1471.946655273,155.538528442,-213.517456055,-1473.396972656,,,,,,,,,,153.445495605,-219.323486328,-1542.372192383,151.587203979,-198.850631714,-1520.520629883,221.930084229,-192.538604736,-1530.386352539,204.411361694,-175.465499878,-1499.624511719,165.776611328,-143.313919067,-1507.900756836,159.736953735,-152.054199219,-1506.381347656,175.938354492,-181.826675415,-1494.369262695,208.969711304,-201.987228394,-1521.285034180,150.313339233,-206.539321899,-1539.936889648,150.955795288,-187.037994385,-1540.861206055,161.925750732,-196.724426270,-1540.400634766,150.169342041,-186.552459717,-1544.169433594,149.639846802,-186.798889160,-1536.138305664,
6,25.783342361,-46.501243591,79.696594238, 8.362282753,-56.076873779,74.894653320,24.461566925,-66.363647461,81.371078491,150.297454834,-232.875854492,-1474.430908203,136.425750732,-218.911880493,-1471.944946289,155.540466309,-213.520217896,-1473.397338867,,,,,,,,,,153.437194824,-219.317565918,-1542.372924805,151.583343506,-198.847122192,-1520.518798828,221.925491333,-192.539718628,-1530.392578125,204.412048340,-175.468765259,-1499.626464844,165.778900146,-143.313049316,-1507.894165039,159.738708496,-152.053009033,-1506.375122070,175.939193726,-181.828216553,-1494.368408203,208.965484619,-201.988327026,-1521.290649414,150.306381226,-206.533432007,-1539.935668945,150.950332642,-187.032058716,-1540.857788086,161.919540405,-196.719451904,-1540.399780273,150.163497925,-186.546081543,-1544.165893555,149.634994507,-186.793395996,-1536.134765625,
7,25.823307037,-46.471523285,79.710693359, 8.400913239,-56.055747986,74.945495605,24.507146835,-66.334709167,81.424514771,150.301788330,-232.875320435,-1474.429199219,136.429962158,-218.912689209,-1471.946777344,155.542327881,-213.519393921,-1473.400024414,,,,,,,,,,153.441177368,-219.332656860,-1542.374267578,151.584915161,-198.857360840,-1520.524902344,221.926498413,-192.544754028,-1530.399414063,204.410903931,-175.468582153,-1499.637451172,165.774414063,-143.318878174,-1507.912841797,159.735153198,-152.059143066,-1506.391845703,175.938659668,-181.829864502,-1494.378173828,208.967391968,-201.992660522,-1521.295410156,150.308975220,-206.548294067,-1539.940063477,150.950866699,-187.047058105,-1540.866577148,161.921096802,-196.733169556,-1540.406250000,150.164016724,-186.561920166,-1544.174804688,149.635452271,-186.807449341,-1536.143676758,
8,25.857597351,-46.451541901,79.730865479, 8.441352844,-56.047946930,74.969238281,24.556907654,-66.312950134,81.446601868,150.300796509,-232.872848511,-1474.428710938,136.431854248,-218.913635254,-1471.948730469,155.540512085,-213.517990112,-1473.399902344,,,,,,,,,,153.447357178,-219.333755493,-1542.374267578,151.587600708,-198.857803345,-1520.525756836,221.929718018,-192.540802002,-1530.393676758,204.410003662,-175.464706421,-1499.634033203,165.772155762,-143.317901611,-1507.914428711,159.733322144,-152.058517456,-1506.393676758,175.937698364,-181.827713013,-1494.377319336,208.970382690,-201.989242554,-1521.290649414,150.314056396,-206.549514771,-1539.940795898,150.954727173,-187.048278809,-1540.868041992,161.925567627,-196.733627319,-1540.406250000,150.168151855,-186.563308716,-1544.176391602,149.638839722,-186.808578491,-1536.145141602,
9,25.882226944,-46.412834167,79.755790710, 8.468143463,-56.019702911,74.997665405,24.587871552,-66.275634766,81.484237671,150.303604126,-232.873809814,-1474.424560547,136.432998657,-218.912445068,-1471.943481445,155.542892456,-213.517715454,-1473.399169922,,,,,,,,,,153.436477661,-219.342803955,-1542.372314453,151.580825806,-198.863937378,-1520.526123047,221.921066284,-192.548233032,-1530.408203125,204.407150269,-175.468048096,-1499.647583008,165.767730713,-143.322357178,-1507.924926758,159.729187012,-152.062774658,-1506.401855469,175.935821533,-181.830368042,-1494.384643555,208.963455200,-201.995468140,-1521.301513672,150.303634644,-206.558242798,-1539.939941406,150.944122314,-187.057128906,-1540.869873047,161.915054321,-196.742416382,-1540.408813477,150.156936646,-186.572601318,-1544.178100586,149.629119873,-186.816802979,-1536.146850586,
10,25.910854340,-46.402633667,79.756217957, 8.503568649,-56.015159607,74.990982056,24.624685287,-66.264503479,81.484092712,150.304138184,-232.871963501,-1474.422241211,136.436508179,-218.912521362,-1471.944702148,155.545486450,-213.517715454,-1473.398193359,,,,,,,,,,153.447708130,-219.348815918,-1542.371093750,151.590255737,-198.867874146,-1520.527099609,221.932083130,-192.556533813,-1530.400634766,204.415039063,-175.472686768,-1499.643798828,165.778259277,-143.325836182,-1507.929077148,159.739089966,-152.065811157,-1506.406005859,175.942718506,-181.833114624,-1494.384033203,208.972824097,-202.002304077,-1521.294799805,150.315185547,-206.563888550,-1539.940429688,150.956741333,-187.062881470,-1540.871948242,161.927139282,-196.748672485,-1540.408691406,150.170013428,-186.578613281,-1544.180419922,149.641143799,-186.822052002,-1536.149169922,
