Number of frames: 3950
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,iHumTracker_GT x,iHumTracker_GT y,iHumTracker_GT z,iHumTracker_LT x,iHumTracker_LT y,iHumTracker_LT z,iHumTracker_P1 x,iHumTracker_P1 y,iHumTracker_P1 z,iHumTracker_P2 x,iHumTracker_P2 y,iHumTracker_P2 z,iHumTracker_P3 x,iHumTracker_P3 y,iHumTracker_P3 z,iHumTracker_P4 x,iHumTracker_P4 y,iHumTracker_P4 z,iHumTracker_P5 x,iHumTracker_P5 y,iHumTracker_P5 z,iHumTracker_P6 x,iHumTracker_P6 y,iHumTracker_P6 z,iHumTracker_SL x,iHumTracker_SL y,iHumTracker_SL z,iHumTracker_SH x,iHumTracker_SH y,iHumTracker_SH z,iHumTracker_SB x,iHumTracker_SB y,iHumTracker_SB z,iHumTracker_Surf1 x,iHumTracker_Surf1 y,iHumTracker_Surf1 z,iHumTracker_Surf2 x,iHumTracker_Surf2 y,iHumTracker_Surf2 z
11,44.482933044,-31.275491714,68.450073242,32.218814850,-45.293430328,76.739723206,52.321414948,-47.463134766,76.904029846,136.448638916,-104.406303406,-1460.622436523,122.196014404,-90.552436829,-1461.518798828,141.354110718,-84.980506897,-1460.713500977,,,,,,,,,,146.925979614,-100.526710510,-1526.045654297,143.757568359,-75.134277344,-1505.708251953,213.553344727,-74.656410217,-1517.205078125,198.496063232,-60.401935577,-1487.076904297,159.965881348,-27.204734802,-1489.964477539,154.977981567,-32.281330109,-1490.782104492,165.460067749,-53.114662170,-1481.063232422,196.738891602,-86.181571960,-1505.196411133,144.839035034,-79.192642212,-1525.163330078,146.147766113,-59.598937988,-1530.203247070,156.771286011,-69.357101440,-1526.672119141,145.106155396,-59.786315918,-1534.940551758,144.343841553,-56.948310852,-1526.765380859,
12,44.497177124,-31.255168915,68.441581726,32.233875275,-45.269317627,76.748138428,52.337928772,-47.439174652,76.902442932,136.447418213,-104.406753540,-1460.618041992,122.194023132,-90.552368164,-1461.518554688,141.352478027,-84.979690552,-1460.716796875,,,,,,,,,,146.919494629,-100.550781250,-1526.043457031,143.752258301,-75.150772095,-1505.715332031,213.547134399,-74.676124573,-1517.217651367,198.491943359,-60.410587311,-1487.093750000,159.961029053,-27.215066910,-1489.990844727,154.973129272,-32.292049408,-1490.806274414,165.456298828,-53.121566772,-1481.080200195,196.733779907,-86.197044373,-1505.203491211,144.832290649,-79.216415405,-1525.169067383,146.140335083,-59.624580383,-1530.216430664,156.764282227,-69.381256104,-1526.682373047,145.098373413,-59.813755035,-1534.953491211,144.336639404,-56.972694397,-1526.779296875,
13,44.481182098,-31.256418228,68.460380554,32.215339661,-45.262508392,76.774032593,52.316822052,-47.435935974,76.923912048,136.444763184,-104.406410217,-1460.617797852,122.192207336,-90.551910400,-1461.514526367,141.350799561,-84.978111267,-1460.716064453,,,,,,,,,,146.904922485,-100.545333862,-1526.044921875,143.741699219,-75.146774292,-1505.714355469,213.534378052,-74.671615601,-1517.229980469,198.485031128,-60.408184052,-1487.102172852,159.953704834,-27.212284088,-1489.989379883,154.965637207,-32.289184570,-1490.804199219,165.450561523,-53.119453430,-1481.081787109,196.723266602,-86.193328857,-1505.213378906,144.817977905,-79.211013794,-1525.168579102,146.125137329,-59.618824005,-1530.214721680,156.749725342,-69.375801086,-1526.683471680,145.082275391,-59.807647705,-1534.951660156,144.322113037,-56.967178345,-1526.777099609,
14,44.470653534,-31.279756546,68.471138000,32.205673218,-45.279346466,76.785552979,52.304752350,-47.458106995,76.943031311,136.440979004,-104.404144287,-1460.619873047,122.189002991,-90.550239563,-1461.516723633,141.347442627,-84.978065491,-1460.715698242,,,,,,,,,,146.908065796,-100.538124084,-1526.045532227,143.743652344,-75.141448975,-1505.712768555,213.537567139,-74.667793274,-1517.221069336,198.485580444,-60.406757355,-1487.093505859,159.955810547,-27.209115982,-1489.981445313,154.967636108,-32.285747528,-1490.797363281,165.450759888,-53.117366791,-1481.075805664,196.724761963,-86.190048218,-1505.207397461,144.821838379,-79.203819275,-1525.167236328,146.130264282,-59.611179352,-1530.211425781,156.754104614,-69.368904114,-1526.679931641,145.087890625,-59.799499512,-1534.948486328,144.326980591,-56.959800720,-1526.773681641,
15,44.481922150,-31.278852463,68.481338501,32.213455200,-45.264633179,76.827812195,52.314483643,-47.449451447,76.969696045,136.441482544,-104.405380249,-1460.614746094,122.187240601,-90.549644470,-1461.518432617,141.347640991,-84.977935791,-1460.718261719,,,,,,,,,,146.912155151,-100.565193176,-1526.041381836,143.746597290,-75.160125732,-1505.719360352,213.541320801,-74.691932678,-1517.222900391,198.487396240,-60.418354034,-1487.102172852,159.958175659,-27.221502304,-1490.006591797,154.970001221,-32.298416138,-1490.820678711,165.452224731,-53.126148224,-1481.089843750,196.727554321,-86.209068298,-1505.205688477,144.826095581,-79.230499268,-1525.171997070,146.135086060,-59.639953613,-1530.224121094,156.758575439,-69.396339417,-1526.687866211,145.093032837,-59.830211639,-1534.961181641,144.331573486,-56.987144470,-1526.787597656,
16,44.459495544,-31.311231613,68.511840820,32.186908722,-45.289497375,76.861091614,52.286369324,-47.481292725,77.001564026,136.441467285,-104.404190063,-1460.618774414,122.184120178,-90.549819946,-1461.519409180,141.346359253,-84.977638245,-1460.715820313,,,,,,,,,,146.916549683,-100.543495178,-1526.043334961,143.747390747,-75.144989014,-1505.713623047,213.543014526,-74.667900085,-1517.211425781,198.485549927,-60.404834747,-1487.087524414,159.954025269,-27.210008621,-1489.984619141,154.966323853,-32.287052155,-1490.800781250,165.449340820,-53.117008209,-1481.075561523,196.729141235,-86.190063477,-1505.199096680,144.828781128,-79.209236145,-1525.167602539,146.136688232,-59.617015839,-1530.213378906,156.760635376,-69.373695374,-1526.679443359,145.095046997,-59.805877686,-1534.950683594,144.332717896,-56.965412140,-1526.776245117,
17,44.439502716,-31.335599899,68.524894714,32.163131714,-45.309886932,76.875190735,52.263149261,-47.506835938,77.018302917,136.441390991,-104.404388428,-1460.620727539,122.185089111,-90.549949646,-1461.518432617,141.346374512,-84.977813721,-1460.712402344,,,,,,,,,,146.920303345,-100.526596069,-1526.043701172,143.750167847,-75.133422852,-1505.707519531,213.546401978,-74.653602600,-1517.201416016,198.487380981,-60.398395538,-1487.074584961,159.956161499,-27.202653885,-1489.964965820,154.968460083,-32.279457092,-1490.782714844,165.450881958,-53.112018585,-1481.062377930,196.731842041,-86.178848267,-1505.192993164,144.832580566,-79.192558289,-1525.162353516,146.140838623,-59.599018097,-1530.203002930,156.764556885,-69.356666565,-1526.671020508,145.099441528,-59.786628723,-1534.940307617,144.336685181,-56.948310852,-1526.765258789,
18,44.439186096,-31.335557938,68.524116516,32.161499023,-45.303222656,76.885047913,52.263427734,-47.501350403,77.023406982,136.442352295,-104.405494690,-1460.620117188,122.184684753,-90.550483704,-1461.518066406,141.347915649,-84.978401184,-1460.714111328,,,,,,,,,,146.915451050,-100.533905029,-1526.044311523,143.747314453,-75.138694763,-1505.710449219,213.542587280,-74.660781860,-1517.210205078,198.486251831,-60.402435303,-1487.083496094,159.955154419,-27.206548691,-1489.973999023,154.967330933,-32.283382416,-1490.790771484,165.450332642,-53.115097046,-1481.069335938,196.728912354,-86.184654236,-1505.199218750,144.828048706,-79.199760437,-1525.165039063,146.136093140,-59.606731415,-1530.207641602,156.759994507,-69.364151001,-1526.675537109,145.094299316,-59.794799805,-1534.944824219,144.332260132,-56.955665588,-1526.770019531,
19,44.451122284,-31.305839539,68.521774292,32.179500580,-45.281337738,76.886230469,52.282867432,-47.472015381,77.022254944,136.443389893,-104.404357910,-1460.619140625,122.185012817,-90.549697876,-1461.518554688,141.348251343,-84.977706909,-1460.716918945,,,,,,,,,,146.911560059,-100.544311523,-1526.044677734,143.744445801,-75.145561218,-1505.715087891,213.538909912,-74.668586731,-1517.219848633,198.484466553,-60.405158997,-1487.094604492,159.952636719,-27.210388184,-1489.988281250,154.964843750,-32.287441254,-1490.803833008,165.448852539,-53.117275238,-1481.079467773,196.726257324,-86.190605164,-1505.205688477,144.823883057,-79.210044861,-1525.169067383,146.131271362,-59.617885590,-1530.215209961,156.755569458,-69.374511719,-1526.682128906,145.089141846,-59.806804657,-1534.952392578,144.327636719,-56.966239929,-1526.777954102,
20,44.462345123,-31.301761627,68.516494751,32.195461273,-45.282150269,76.873985291,52.299430847,-47.463726044,77.012329102,136.445373535,-104.404769897,-1460.624267578,122.186500549,-90.551010132,-1461.523681641,141.350051880,-84.977973938,-1460.718872070,,,,,,,,,,146.921844482,-100.535972595,-1526.048095703,143.751144409,-75.139991760,-1505.715576172,213.547042847,-74.658752441,-1517.211425781,198.488220215,-60.399841309,-1487.086181641,159.955444336,-27.206222534,-1489.980468750,154.967956543,-32.283367157,-1490.797241211,165.451568604,-53.114051819,-1481.074218750,196.733322144,-86.182998657,-1505.200927734,144.833206177,-79.201904297,-1525.169921875,146.140457153,-59.609039307,-1530.213378906,156.764709473,-69.365699768,-1526.680297852,145.098937988,-59.797382355,-1534.950683594,144.336273193,-56.957912445,-1526.776000977,
